gap_size,is_maximal,is_first,prime_category,gap_cert,discoverer,year,merit,rank,gap_start
482,0,1,C,C,RP.Brent,1973,17.4125,13,1051602787181
488,0,1,C,C,RP.Brent,1973,17.5072,13,1275363152099
502,0,1,C,C,RP.Brent,1973,18.018,13,1258535916601
506,0,1,C,C,RP.Brent,1973,18.1211,13,1339347750707
508,0,1,C,C,RP.Brent,1973,17.9878,13,1841086484491
510,0,1,C,C,RP.Brent,1973,17.9429,13,2209016910131
512,0,1,C,C,RP.Brent,1973,18.0767,13,1999066711391
518,0,1,C,C,RP.Brent,1973,18.1994,13,2296497058133
520,0,1,C,C,RP.Brent,1973,18.2587,13,2336167262449
522,0,1,C,C,RP.Brent,1973,18.7597,13,1214820695701
524,0,1,C,C,RP.Brent,1973,18.4217,13,2256065636039
526,0,1,C,C,RP.Brent,1973,18.7097,13,1620505682371
528,0,1,C,C,RP.Brent,1973,18.8194,13,1529741785139
530,0,1,C,C,RP.Brent,1973,18.6475,13,2205492372371
536,0,1,C,C,Yng&Ptlr,1989,18.286,13,5371284217763
538,0,1,C,C,RP.Brent,1973,18.9546,13,2122536905311
542,0,1,C,C,RP.Brent,1980,18.9333,13,2707053887651
544,0,1,C,C,RP.Brent,1973,19.0167,13,2652427555639
546,0,1,C,C,RP.Brent,1973,19.2233,13,2164206784721
548,0,1,C,C,RP.Brent,1980,18.9955,13,3380058341279
550,0,1,C,C,RP.Brent,1973,19.2672,13,2496646209271
552,0,1,C,C,RP.Brent,1973,19.4201,13,2210401546601
554,0,1,C,C,RP.Brent,1980,19.1577,13,3621153039299
556,0,1,C,C,RP.Brent,1980,19.1075,13,4338624362173
558,0,1,C,C,Yng&Ptlr,1989,19.0496,13,5263973982823
560,0,1,C,C,RP.Brent,1980,19.257,13,4260199366373
562,0,1,C,C,RP.Brent,1973,19.8139,13,2081209441279
564,0,1,C,C,RP.Brent,1973,20.1262,13,1480064231153
566,0,1,C,C,Yng&Ptlr,1989,19.3704,13,4897642179197
568,0,1,C,C,Yng&Ptlr,1989,19.3036,13,6010330572331
570,0,1,C,C,RP.Brent,1980,19.5727,13,4442109925217
572,0,1,C,C,Yng&Ptlr,1989,19.5055,13,5441175346967
574,0,1,C,C,RP.Brent,1980,19.9546,13,3108794067079
576,0,1,C,C,Yng&Ptlr,1989,19.3238,13,8817792098461
578,0,1,C,C,Yng&Ptlr,1989,19.4922,13,7552870120721
580,0,1,C,C,Yng&Ptlr,1989,19.4175,13,9383081340541
582,1,1,C,C,RP.Brent,1973,20.839,13,1346294310749
584,0,1,C,C,Yng&Ptlr,1989,19.7458,13,6993007248239
586,0,1,C,C,Yng&Ptlr,1989,19.8767,13,6364466316577
588,1,1,C,C,RP.Brent,1973,21.0198,13,1408695493609
590,0,1,C,C,Yng&Ptlr,1989,19.2407,14,20761252261751
592,0,1,C,C,RP.Brent,1980,20.5144,13,3410069454097
594,0,1,C,C,Yng&Ptlr,1989,20.2483,13,5499789519863
596,0,1,C,C,Yng&Ptlr,1989,19.8791,14,10487995154603
598,0,1,C,C,Yng&Ptlr,1989,20.3704,13,5614481773561
600,0,1,C,C,Yng&Ptlr,1989,20.5376,13,4872634110067
602,1,1,C,C,RP.Brent,1973,21.266,13,1968188556461
604,0,1,C,C,Yng&Ptlr,1989,20.597,13,5439564948583
606,0,1,C,C,Yng&Ptlr,1989,20.116,14,12112937821403
608,0,1,C,C,Yng&Ptlr,1989,19.8276,14,20767330530329
610,0,1,C,C,Yng&Ptlr,1989,20.4424,13,9105981382177
612,0,1,C,C,Yng&Ptlr,1989,20.2474,14,13397310636587
614,0,1,C,C,Yng&Ptlr,1989,20.1387,14,17418754709747
