anchor_p,actual_offset,active_count,resolved_count,unresolved_count,old_unique_match,reset_emitted_offset,reset_exact_match,reset_false_emit,tail_after_reset_count,all_unresolved_after_reset,candidate_bound_miss
1000000000000000003,6,22,1,21,False,6,True,False,21,True,False
1000000000000000009,22,21,1,20,False,22,True,False,20,True,False
1000000000000000031,48,20,1,19,False,48,True,False,19,True,False
1000000000000000079,98,20,1,19,False,98,True,False,19,True,False
1000000000000000177,6,1,1,0,True,6,True,False,0,True,False
1000000000000000183,18,19,1,18,False,18,True,False,18,True,False
1000000000000000201,82,18,1,17,False,82,True,False,17,True,False
1000000000000000283,98,18,1,17,False,98,True,False,17,True,False
1000000000000000381,6,1,1,0,True,6,True,False,0,True,False
1000000000000000387,120,19,1,18,False,120,True,False,18,True,False
1000000000000000507,16,20,1,19,False,16,True,False,19,True,False
1000000000000000523,60,20,1,19,False,60,True,False,19,True,False
1000000000000000583,20,21,1,20,False,20,True,False,20,True,False
1000000000000000603,16,20,1,19,False,16,True,False,19,True,False
1000000000000000619,2,1,1,0,True,2,True,False,0,True,False
1000000000000000621,178,18,1,17,False,178,True,False,17,True,False
1000000000000000799,42,22,1,21,False,42,True,False,21,True,False
1000000000000000841,20,22,1,21,False,20,True,False,21,True,False
1000000000000000861,16,22,1,21,False,16,True,False,21,True,False
1000000000000000877,36,21,1,20,False,36,True,False,20,True,False
1000000000000000913,18,20,1,19,False,18,True,False,19,True,False
1000000000000000931,66,20,1,19,False,66,True,False,19,True,False
1000000000000000997,96,19,1,18,False,96,True,False,18,True,False
1000000000000001093,98,20,1,19,False,98,True,False,19,True,False
1000000000000001191,76,20,1,19,False,76,True,False,19,True,False
1000000000000001267,56,21,1,20,False,56,True,False,20,True,False
1000000000000001323,24,21,1,20,False,24,True,False,20,True,False
1000000000000001347,12,1,1,0,True,12,True,False,0,True,False
1000000000000001359,94,19,1,18,False,94,True,False,18,True,False
1000000000000001453,6,1,1,0,True,6,True,False,0,True,False
1000000000000001459,78,18,1,17,False,78,True,False,17,True,False
1000000000000001537,26,23,1,22,False,26,True,False,22,True,False
1000000000000001563,30,23,1,22,False,30,True,False,22,True,False
1000000000000001593,66,24,1,23,False,66,True,False,23,True,False
1000000000000001659,24,24,1,23,False,24,True,False,23,True,False
1000000000000001683,46,23,1,22,False,46,True,False,22,True,False
1000000000000001729,14,22,1,21,False,14,True,False,21,True,False
1000000000000001743,28,21,1,20,False,28,True,False,20,True,False
1000000000000001771,56,20,1,19,False,56,True,False,19,True,False
1000000000000001827,52,20,1,19,False,52,True,False,19,True,False
1000000000000001879,74,21,1,20,False,74,True,False,20,True,False
1000000000000001953,96,23,1,22,False,96,True,False,22,True,False
1000000000000002049,48,22,1,21,False,48,True,False,21,True,False
1000000000000002097,40,22,1,21,False,40,True,False,21,True,False
1000000000000002137,80,23,1,22,False,80,True,False,22,True,False
1000000000000002217,54,26,1,25,False,54,True,False,25,True,False
1000000000000002271,48,27,1,26,False,48,True,False,26,True,False
1000000000000002319,162,28,1,27,False,162,True,False,27,True,False
1000000000000002481,12,30,1,29,False,12,True,False,29,True,False
1000000000000002493,4,29,1,28,False,4,True,False,28,True,False
1000000000000002497,12,2,1,1,False,12,True,False,1,True,False
1000000000000002509,8,1,1,0,True,8,True,False,0,True,False
1000000000000002517,22,27,1,26,False,22,True,False,26,True,False
1000000000000002539,18,26,1,25,False,18,True,False,25,True,False
1000000000000002557,30,25,1,24,False,30,True,False,24,True,False
1000000000000002587,20,2,1,1,False,20,True,False,1,True,False
1000000000000002607,4,1,1,0,True,4,True,False,0,True,False
1000000000000002611,68,23,1,22,False,68,True,False,22,True,False
1000000000000002679,172,25,1,24,False,172,True,False,24,True,False
1000000000000002851,6,27,1,26,False,6,True,False,26,True,False
1000000000000002857,44,26,1,25,False,44,True,False,25,True,False
1000000000000002901,6,1,1,0,True,6,True,False,0,True,False
1000000000000002907,24,24,1,23,False,24,True,False,23,True,False
1000000000000002931,30,23,1,22,False,30,True,False,22,True,False
1000000000000002961,150,23,1,22,False,150,True,False,22,True,False
1000000000000003111,18,25,1,24,False,18,True,False,24,True,False
1000000000000003129,10,1,1,0,True,10,True,False,0,True,False
1000000000000003139,48,24,1,23,False,48,True,False,23,True,False
1000000000000003187,14,2,1,1,False,14,True,False,1,True,False
1000000000000003201,6,1,1,0,True,6,True,False,0,True,False
1000000000000003207,30,24,1,23,False,30,True,False,23,True,False
1000000000000003237,34,23,1,22,False,34,True,False,22,True,False
1000000000000003271,8,22,1,21,False,8,True,False,21,True,False
1000000000000003279,58,21,1,20,False,58,True,False,20,True,False
1000000000000003337,2,1,1,0,True,2,True,False,0,True,False
1000000000000003339,84,20,1,19,False,84,True,False,19,True,False
1000000000000003423,66,23,1,22,False,66,True,False,22,True,False
1000000000000003489,4,1,1,0,True,4,True,False,0,True,False
1000000000000003493,36,25,1,24,False,36,True,False,24,True,False
1000000000000003529,92,25,1,24,False,92,True,False,24,True,False
1000000000000003621,22,27,1,26,False,22,True,False,26,True,False
1000000000000003643,18,26,1,25,False,18,True,False,25,True,False
1000000000000003661,8,26,1,25,False,8,True,False,25,True,False
1000000000000003669,64,25,1,24,False,64,True,False,24,True,False
1000000000000003733,78,24,1,23,False,78,True,False,23,True,False
1000000000000003811,2,1,1,0,True,2,True,False,0,True,False
1000000000000003813,160,24,1,23,False,160,True,False,23,True,False
1000000000000003973,98,26,1,25,False,98,True,False,25,True,False
1000000000000004071,12,27,1,26,False,12,True,False,26,True,False
1000000000000004083,34,27,1,26,False,34,True,False,26,True,False
1000000000000004117,20,1,1,0,True,20,True,False,0,True,False
1000000000000004137,52,26,1,25,False,52,True,False,25,True,False
1000000000000004189,20,26,1,25,False,20,True,False,25,True,False
1000000000000004209,22,27,1,26,False,22,True,False,26,True,False
1000000000000004231,86,26,1,25,False,86,True,False,25,True,False
1000000000000004317,66,26,1,25,False,66,True,False,25,True,False
1000000000000004383,4,1,1,0,True,4,True,False,0,True,False
1000000000000004387,26,27,1,26,False,26,True,False,26,True,False
1000000000000004413,34,27,1,26,False,34,True,False,26,True,False
1000000000000004447,2,1,1,0,True,2,True,False,0,True,False
1000000000000004449,18,26,1,25,False,18,True,False,25,True,False
1000000000000004467,10,1,1,0,True,10,True,False,0,True,False
1000000000000004477,26,24,1,23,False,26,True,False,23,True,False
1000000000000004503,48,23,1,22,False,48,True,False,22,True,False
1000000000000004551,10,24,1,23,False,10,True,False,23,True,False
1000000000000004561,12,24,1,23,False,12,True,False,23,True,False
1000000000000004573,26,23,1,22,False,26,True,False,22,True,False
1000000000000004599,72,23,1,22,False,72,True,False,22,True,False
1000000000000004671,106,24,1,23,False,106,True,False,23,True,False
1000000000000004777,26,26,1,25,False,26,True,False,25,True,False
1000000000000004803,76,25,1,24,False,76,True,False,24,True,False
1000000000000004879,102,25,1,24,False,102,True,False,24,True,False
1000000000000004981,8,26,1,25,False,8,True,False,25,True,False
1000000000000004989,40,25,1,24,False,40,True,False,24,True,False
1000000000000005029,50,26,1,25,False,50,True,False,25,True,False
1000000000000005079,22,27,1,26,False,22,True,False,26,True,False
1000000000000005101,38,27,1,26,False,38,True,False,26,True,False
1000000000000005139,70,28,1,27,False,70,True,False,27,True,False
1000000000000005209,8,2,1,1,False,8,True,False,1,True,False
1000000000000005217,10,1,1,0,True,10,True,False,0,True,False
1000000000000005227,44,27,1,26,False,44,True,False,26,True,False
1000000000000005271,88,28,1,27,False,88,True,False,27,True,False
1000000000000005359,18,29,1,28,False,18,True,False,28,True,False
1000000000000005377,6,1,1,0,True,6,True,False,0,True,False
1000000000000005383,38,28,1,27,False,38,True,False,27,True,False
1000000000000005421,30,28,1,27,False,30,True,False,27,True,False
1000000000000005451,88,27,1,26,False,88,True,False,26,True,False
1000000000000005539,12,27,1,26,False,12,True,False,26,True,False
1000000000000005551,32,26,1,25,False,32,True,False,25,True,False
1000000000000005583,28,26,1,25,False,28,True,False,25,True,False
1000000000000005611,36,1,1,0,True,36,True,False,0,True,False
1000000000000005647,26,27,1,26,False,26,True,False,26,True,False
1000000000000005673,60,26,1,25,False,60,True,False,25,True,False
1000000000000005733,10,2,1,1,False,10,True,False,1,True,False
1000000000000005743,6,1,1,0,True,6,True,False,0,True,False
1000000000000005749,108,23,1,22,False,108,True,False,22,True,False
1000000000000005857,110,26,1,25,False,110,True,False,25,True,False
1000000000000005967,22,27,1,26,False,22,True,False,26,True,False
1000000000000005989,32,27,1,26,False,32,True,False,26,True,False
1000000000000006021,18,26,1,25,False,18,True,False,25,True,False
1000000000000006039,30,26,1,25,False,30,True,False,25,True,False
1000000000000006069,22,25,1,24,False,22,True,False,24,True,False
1000000000000006091,32,25,1,24,False,32,True,False,24,True,False
1000000000000006123,30,24,1,23,False,30,True,False,23,True,False
1000000000000006153,10,23,1,22,False,10,True,False,22,True,False
1000000000000006163,8,23,1,22,False,8,True,False,22,True,False
1000000000000006171,78,22,1,21,False,78,True,False,21,True,False
1000000000000006249,18,25,1,24,False,18,True,False,24,True,False
1000000000000006267,16,25,1,24,False,16,True,False,24,True,False
1000000000000006283,18,24,1,23,False,18,True,False,23,True,False
1000000000000006301,36,23,1,22,False,36,True,False,22,True,False
1000000000000006337,54,23,1,22,False,54,True,False,22,True,False
1000000000000006391,38,23,1,22,False,38,True,False,22,True,False
1000000000000006429,72,24,1,23,False,72,True,False,23,True,False
1000000000000006501,90,25,1,24,False,90,True,False,24,True,False
1000000000000006591,36,26,1,25,False,36,True,False,25,True,False
1000000000000006627,4,2,1,1,False,4,True,False,1,True,False
1000000000000006631,2,1,1,0,True,2,True,False,0,True,False
1000000000000006633,154,24,1,23,False,154,True,False,23,True,False
1000000000000006787,42,27,1,26,False,42,True,False,26,True,False
1000000000000006829,20,1,1,0,True,20,True,False,0,True,False
1000000000000006849,22,27,1,26,False,22,True,False,26,True,False
1000000000000006871,62,26,1,25,False,62,True,False,25,True,False
1000000000000006933,6,1,1,0,True,6,True,False,0,True,False
1000000000000006939,72,26,1,25,False,72,True,False,25,True,False
1000000000000007011,52,25,1,24,False,52,True,False,24,True,False
1000000000000007063,38,24,1,23,False,38,True,False,23,True,False
1000000000000007101,78,26,1,25,False,78,True,False,25,True,False
1000000000000007179,18,26,1,25,False,18,True,False,25,True,False
1000000000000007197,46,25,1,24,False,46,True,False,24,True,False
1000000000000007243,6,1,1,0,True,6,True,False,0,True,False
1000000000000007249,20,24,1,23,False,20,True,False,23,True,False
1000000000000007269,18,23,1,22,False,18,True,False,22,True,False
1000000000000007287,40,23,1,22,False,40,True,False,22,True,False
1000000000000007327,66,22,1,21,False,66,True,False,21,True,False
1000000000000007393,44,22,1,21,False,44,True,False,21,True,False
1000000000000007437,16,22,1,21,False,16,True,False,21,True,False
1000000000000007453,14,21,1,20,False,14,True,False,20,True,False
1000000000000007467,42,22,1,21,False,42,True,False,21,True,False
1000000000000007509,18,22,1,21,False,18,True,False,21,True,False
1000000000000007527,24,1,1,0,True,24,True,False,0,True,False
1000000000000007551,90,20,1,19,False,90,True,False,19,True,False
1000000000000007641,40,23,1,22,False,40,True,False,22,True,False
1000000000000007681,2,1,1,0,True,2,True,False,0,True,False
1000000000000007683,70,22,1,21,False,70,True,False,21,True,False
1000000000000007753,24,1,1,0,True,24,True,False,0,True,False
1000000000000007777,36,20,1,19,False,36,True,False,19,True,False
1000000000000007813,50,19,1,18,False,50,True,False,18,True,False
1000000000000007863,70,20,1,19,False,70,True,False,19,True,False
1000000000000007933,14,23,1,22,False,14,True,False,22,True,False
1000000000000007947,150,22,1,21,False,150,True,False,21,True,False
1000000000000008097,6,25,1,24,False,6,True,False,24,True,False
1000000000000008103,10,24,1,23,False,10,True,False,23,True,False
1000000000000008113,44,23,1,22,False,44,True,False,22,True,False
1000000000000008157,76,24,1,23,False,76,True,False,23,True,False
1000000000000008233,66,24,1,23,False,66,True,False,23,True,False
1000000000000008299,80,25,1,24,False,80,True,False,24,True,False
1000000000000008379,82,26,1,25,False,82,True,False,25,True,False
1000000000000008461,18,2,1,1,False,18,True,False,1,True,False
1000000000000008479,2,1,1,0,True,2,True,False,0,True,False
1000000000000008481,42,25,1,24,False,42,True,False,24,True,False
1000000000000008523,84,24,1,23,False,84,True,False,23,True,False
1000000000000008607,10,25,1,24,False,10,True,False,24,True,False
1000000000000008617,42,25,1,24,False,42,True,False,24,True,False
1000000000000008659,2,1,1,0,True,2,True,False,0,True,False
1000000000000008661,12,1,1,0,True,12,True,False,0,True,False
1000000000000008673,198,24,1,23,False,198,True,False,23,True,False
1000000000000008871,12,29,1,28,False,12,True,False,28,True,False
1000000000000008883,16,2,1,1,False,16,True,False,1,True,False
1000000000000008899,2,1,1,0,True,2,True,False,0,True,False
1000000000000008901,6,28,1,27,False,6,True,False,27,True,False
1000000000000008907,12,27,1,26,False,12,True,False,26,True,False
1000000000000008919,72,26,1,25,False,72,True,False,25,True,False
1000000000000008991,46,28,1,27,False,46,True,False,27,True,False
1000000000000009037,50,29,1,28,False,50,True,False,28,True,False
1000000000000009087,16,1,1,0,True,16,True,False,0,True,False
1000000000000009103,50,29,1,28,False,50,True,False,28,True,False
1000000000000009153,28,31,1,30,False,28,True,False,30,True,False
1000000000000009181,32,31,1,30,False,32,True,False,30,True,False
1000000000000009213,46,30,1,29,False,46,True,False,29,True,False
1000000000000009259,60,29,1,28,False,60,True,False,28,True,False
