anchor_p,actual_offset,active_count,resolved_count,unresolved_count,old_unique_match,reset_emitted_offset,reset_exact_match,reset_false_emit,tail_after_reset_count,all_unresolved_after_reset,candidate_bound_miss
10000000019,14,44,1,43,False,14,True,False,43,True,False
10000000033,28,46,1,45,False,28,True,False,45,True,False
10000000061,8,45,1,44,False,8,True,False,44,True,False
10000000069,28,45,1,44,False,28,True,False,44,True,False
10000000097,6,1,1,0,True,6,True,False,0,True,False
10000000103,18,46,1,45,False,18,True,False,45,True,False
10000000121,20,45,1,44,False,20,True,False,44,True,False
10000000141,6,1,1,0,True,6,True,False,0,True,False
10000000147,60,45,1,44,False,60,True,False,44,True,False
10000000207,52,44,1,43,False,52,True,False,43,True,False
10000000259,18,44,1,43,False,18,True,False,43,True,False
10000000277,2,1,1,0,True,2,True,False,0,True,False
10000000279,40,42,1,41,False,40,True,False,41,True,False
10000000319,24,41,1,40,False,24,True,False,40,True,False
10000000343,48,40,1,39,False,48,True,False,39,True,False
10000000391,12,43,1,42,False,12,True,False,42,True,False
10000000403,66,43,1,42,False,66,True,False,42,True,False
10000000469,32,46,1,45,False,32,True,False,45,True,False
10000000501,36,46,1,45,False,36,True,False,45,True,False
10000000537,46,47,1,46,False,46,True,False,46,True,False
10000000583,6,3,1,2,False,6,True,False,2,True,False
10000000589,8,2,1,1,False,8,True,False,1,True,False
10000000597,4,1,1,0,True,4,True,False,0,True,False
10000000601,30,45,1,44,False,30,True,False,44,True,False
10000000631,12,45,1,44,False,12,True,False,44,True,False
10000000643,6,1,1,0,True,6,True,False,0,True,False
10000000649,18,44,1,43,False,18,True,False,43,True,False
10000000667,12,45,1,44,False,12,True,False,44,True,False
10000000679,32,44,1,43,False,32,True,False,43,True,False
10000000711,12,45,1,44,False,12,True,False,44,True,False
10000000723,18,46,1,45,False,18,True,False,45,True,False
10000000741,12,45,1,44,False,12,True,False,44,True,False
10000000753,40,44,1,43,False,40,True,False,43,True,False
10000000793,6,2,1,1,False,6,True,False,1,True,False
10000000799,8,1,1,0,True,8,True,False,0,True,False
10000000807,70,43,1,42,False,70,True,False,42,True,False
10000000877,6,2,1,1,False,6,True,False,1,True,False
10000000883,6,1,1,0,True,6,True,False,0,True,False
10000000889,60,43,1,42,False,60,True,False,42,True,False
10000000949,14,45,1,44,False,14,True,False,44,True,False
10000000963,28,44,1,43,False,28,True,False,43,True,False
10000000991,2,1,1,0,True,2,True,False,0,True,False
10000000993,6,44,1,43,False,6,True,False,43,True,False
10000000999,42,43,1,42,False,42,True,False,42,True,False
10000001041,6,2,1,1,False,6,True,False,1,True,False
10000001047,4,1,1,0,True,4,True,False,0,True,False
10000001051,6,42,1,41,False,6,True,False,41,True,False
10000001057,30,41,1,40,False,30,True,False,40,True,False
10000001087,14,40,1,39,False,14,True,False,39,True,False
10000001101,12,2,1,1,False,12,True,False,1,True,False
10000001113,4,1,1,0,True,4,True,False,0,True,False
10000001117,36,38,1,37,False,36,True,False,37,True,False
10000001153,6,1,1,0,True,6,True,False,0,True,False
10000001159,92,37,1,36,False,92,True,False,36,True,False
10000001251,120,37,1,36,False,120,True,False,36,True,False
10000001371,6,1,1,0,True,6,True,False,0,True,False
10000001377,6,38,1,37,False,6,True,False,37,True,False
10000001383,28,39,1,38,False,28,True,False,38,True,False
10000001411,8,38,1,37,False,8,True,False,37,True,False
10000001419,18,37,1,36,False,18,True,False,36,True,False
10000001437,4,1,1,0,True,4,True,False,0,True,False
10000001441,26,36,1,35,False,26,True,False,35,True,False
10000001467,4,1,1,0,True,4,True,False,0,True,False
10000001471,48,34,1,33,False,48,True,False,33,True,False
10000001519,14,35,1,34,False,14,True,False,34,True,False
10000001533,18,35,1,34,False,18,True,False,34,True,False
10000001551,42,35,1,34,False,42,True,False,34,True,False
10000001593,30,35,1,34,False,30,True,False,34,True,False
10000001623,28,36,1,35,False,28,True,False,35,True,False
10000001651,8,37,1,36,False,8,True,False,36,True,False
10000001659,18,36,1,35,False,18,True,False,35,True,False
10000001677,12,36,1,35,False,12,True,False,35,True,False
10000001689,18,38,1,37,False,18,True,False,37,True,False
10000001707,16,37,1,36,False,16,True,False,36,True,False
10000001723,20,38,1,37,False,20,True,False,37,True,False
10000001743,4,1,1,0,True,4,True,False,0,True,False
10000001747,50,37,1,36,False,50,True,False,36,True,False
10000001797,16,38,1,37,False,16,True,False,37,True,False
10000001813,48,38,1,37,False,48,True,False,37,True,False
10000001861,12,38,1,37,False,12,True,False,37,True,False
10000001873,26,37,1,36,False,26,True,False,36,True,False
