anchor_p,actual_offset,candidate_count,tested_count,emitted_offset,exact_match,false_emit,candidate_bound_miss
100000000000000003,10,273,3,10,True,False,False
100000000000000013,6,272,1,6,True,False,False
100000000000000019,2,273,1,2,True,False,False
100000000000000021,28,272,7,28,True,False,False
100000000000000049,32,273,9,32,True,False,False
100000000000000081,18,272,5,18,True,False,False
100000000000000099,42,273,11,42,True,False,False
100000000000000141,40,272,10,40,True,False,False
100000000000000181,156,273,42,156,True,False,False
100000000000000337,2,273,1,2,True,False,False
100000000000000339,30,273,8,30,True,False,False
100000000000000369,10,273,2,10,True,False,False
100000000000000379,44,273,12,44,True,False,False
100000000000000423,96,273,26,96,True,False,False
100000000000000519,24,273,6,24,True,False,False
100000000000000543,46,273,12,46,True,False,False
100000000000000589,2,273,1,2,True,False,False
100000000000000591,18,272,5,18,True,False,False
100000000000000609,60,273,16,60,True,False,False
100000000000000669,22,273,5,22,True,False,False
100000000000000691,90,273,24,90,True,False,False
100000000000000781,6,273,2,6,True,False,False
100000000000000787,30,273,8,30,True,False,False
100000000000000817,2,273,1,2,True,False,False
100000000000000819,52,273,13,52,True,False,False
100000000000000871,18,273,5,18,True,False,False
100000000000000889,164,273,44,164,True,False,False
100000000000001053,18,273,5,18,True,False,False
100000000000001071,22,272,6,22,True,False,False
100000000000001093,6,272,1,6,True,False,False
100000000000001099,8,273,2,8,True,False,False
100000000000001107,94,273,25,94,True,False,False
100000000000001201,18,273,5,18,True,False,False
100000000000001219,2,273,1,2,True,False,False
100000000000001221,22,272,6,22,True,False,False
100000000000001243,6,272,1,6,True,False,False
100000000000001249,38,273,10,38,True,False,False
100000000000001287,6,273,2,6,True,False,False
100000000000001293,34,273,9,34,True,False,False
100000000000001327,72,273,19,72,True,False,False
100000000000001399,30,273,8,30,True,False,False
100000000000001429,20,273,6,20,True,False,False
100000000000001449,10,273,2,10,True,False,False
100000000000001459,114,273,31,114,True,False,False
100000000000001573,30,272,8,30,True,False,False
100000000000001603,20,272,5,20,True,False,False
100000000000001623,18,273,5,18,True,False,False
100000000000001641,262,272,70,262,True,False,False
100000000000001903,18,272,4,18,True,False,False
100000000000001921,26,273,7,26,True,False,False
100000000000001947,24,273,7,24,True,False,False
100000000000001971,18,272,5,18,True,False,False
100000000000001989,40,273,10,40,True,False,False
100000000000002029,12,273,3,12,True,False,False
100000000000002041,98,273,27,98,True,False,False
100000000000002139,30,273,8,30,True,False,False
100000000000002169,28,273,7,28,True,False,False
100000000000002197,6,273,2,6,True,False,False
100000000000002203,104,272,27,104,True,False,False
100000000000002307,34,273,9,34,True,False,False
