anchor_p,candidate_count,rejected_count,active_count,resolved_count,unresolved_count,unique_resolved,unique_resolved_match,true_boundary_rejected
11,35,34,1,1,0,True,True,False
13,34,31,3,1,2,False,False,False
17,34,33,1,1,0,True,True,False
19,33,32,1,1,0,True,True,False
23,34,7,27,1,26,False,False,False
29,34,33,1,1,0,True,True,False
31,33,29,4,1,3,False,False,False
37,34,31,3,1,2,False,False,False
41,35,34,1,1,0,True,True,False
43,34,33,1,1,0,True,True,False
47,34,9,25,1,24,False,False,False
53,34,20,14,1,13,False,False,False
59,34,33,1,1,0,True,True,False
61,33,21,12,1,11,False,False,False
67,34,23,11,1,10,False,False,False
71,35,34,1,1,0,True,True,False
73,34,25,9,1,8,False,False,False
79,33,25,8,1,7,False,False,False
83,34,27,7,1,6,False,False,False
89,34,28,6,1,5,False,False,False
97,34,32,2,1,1,False,False,False
101,35,34,1,1,0,True,True,False
103,34,31,3,1,2,False,False,False
107,34,33,1,1,0,True,True,False
109,33,32,1,1,0,True,True,False
113,34,11,23,1,22,False,False,False
127,34,26,8,1,7,False,False,False
131,35,28,7,1,6,False,False,False
137,34,33,1,1,0,True,True,False
139,33,28,5,1,4,False,False,False
149,34,33,1,1,0,True,True,False
151,33,30,3,1,2,False,False,False
157,34,32,2,1,1,False,False,False
163,34,33,1,1,0,True,True,False
167,34,11,23,1,22,False,False,False
173,34,13,21,1,20,False,False,False
179,34,33,1,1,0,True,True,False
181,33,14,19,1,18,False,False,False
191,35,34,1,1,0,True,True,False
193,34,17,17,1,16,False,False,False
197,34,33,1,1,0,True,True,False
199,33,18,15,1,14,False,False,False
211,33,19,14,1,13,False,False,False
223,34,21,13,1,12,False,False,False
227,34,33,1,1,0,True,True,False
229,33,32,1,1,0,True,True,False
233,34,24,10,1,9,False,False,False
239,34,33,1,1,0,True,True,False
241,33,25,8,1,7,False,False,False
251,35,28,7,1,6,False,False,False
257,34,28,6,1,5,False,False,False
263,34,29,5,1,4,False,False,False
269,34,33,1,1,0,True,True,False
271,33,30,3,1,2,False,False,False
277,34,32,2,1,1,False,False,False
281,35,34,1,1,0,True,True,False
283,34,15,19,1,18,False,False,False
293,34,24,10,1,9,False,False,False
307,34,25,9,1,8,False,False,False
311,35,34,1,1,0,True,True,False
313,34,27,7,1,6,False,False,False
317,34,28,6,1,5,False,False,False
331,33,28,5,1,4,False,False,False
337,34,30,4,1,3,False,False,False
347,34,33,1,1,0,True,True,False
349,33,32,1,1,0,True,True,False
353,34,33,1,1,0,True,True,False
359,34,13,21,1,20,False,False,False
367,34,13,21,1,20,False,False,False
373,34,13,21,1,20,False,False,False
379,33,12,21,1,20,False,False,False
383,34,13,21,1,20,False,False,False
389,34,14,20,1,19,False,False,False
397,34,13,21,1,20,False,False,False
401,35,15,20,1,19,False,False,False
409,33,14,19,1,18,False,False,False
419,34,33,1,1,0,True,True,False
421,33,16,17,1,16,False,False,False
431,35,34,1,1,0,True,True,False
433,34,19,15,1,14,False,False,False
439,33,32,1,1,0,True,True,False
443,34,21,13,1,12,False,False,False
449,34,22,12,1,11,False,False,False
457,34,23,11,1,10,False,False,False
461,35,34,1,1,0,True,True,False
463,34,25,9,1,8,False,False,False
467,34,26,8,1,7,False,False,False
