anchor_p,actual_q,actual_offset,candidate_count,structural_survivor_count,structural_survivors,rule_x_survivor_count,rule_x_survivors,rule_x_true_rejected,survivor_lock_survivor_count,survivor_lock_survivors,survivor_lock_true_rejected,label_active_survivor_count,label_active_survivors,label_resolved_survivor_count,label_resolved_survivors,label_unresolved_survivor_count,label_unresolved_survivors,label_lock_true_rejected,label_lock_unique_resolved,label_lock_unique_resolved_match,lock_carrier,lock_carrier_offset,lock_carrier_d,lock_threat,lock_threat_offset,lock_threat_d,survivor_lock_carrier,survivor_lock_carrier_offset,survivor_lock_carrier_d,survivor_lock_threat,survivor_lock_threat_offset,survivor_lock_threat_d,label_lock_carrier,label_lock_carrier_offset,label_lock_carrier_d,label_lock_threat,label_lock_threat_offset,label_lock_threat_d,exact_survivor_count,exact_survivors,exact_unique_match
11,13,2,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],False,1,[2],False,1,[2],1,[2],0,[],False,True,True,12,1,6,14,3,4,12,1,6,14,3,4,12,1,6,14,3,4,1,[2],True
13,17,4,34,34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",3,"[4, 6, 10]",False,3,"[4, 6, 10]",False,3,"[4, 6, 10]",1,[4],2,"[6, 10]",False,False,False,14,1,4,25,12,3,14,1,4,25,12,3,14,1,4,25,12,3,1,[4],True
17,19,2,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],False,1,[2],False,1,[2],1,[2],0,[],False,True,True,18,1,6,21,4,4,18,1,6,21,4,4,18,1,6,21,4,4,1,[2],True
19,23,4,33,33,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90, 94, 100, 102, 108, 112, 114, 118, 120, 124]",0,[],True,1,[4],False,1,[4],1,[4],0,[],False,True,True,20,1,6,21,2,4,21,2,4,25,6,3,21,2,4,25,6,3,1,[4],True
23,29,6,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",False,27,"[6, 8, 14, 18, 20, 24, 30, 36, 38, 44, 48, 50, 56, 60, 66, 74, 78, 80, 84, 86, 90, 104, 108, 114, 116, 126, 128]",1,[6],26,"[8, 14, 18, 20, 24, 30, 36, 38, 44, 48, 50, 56, 60, 66, 74, 78, 80, 84, 86, 90, 104, 108, 114, 116, 126, 128]",False,False,False,24,1,8,25,2,3,25,2,3,,,,25,2,3,,,,1,[6],True
29,31,2,34,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",1,[2],False,1,[2],False,1,[2],1,[2],0,[],False,True,True,30,1,8,32,3,6,30,1,8,32,3,6,30,1,8,32,3,6,1,[2],True
31,37,6,33,33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",0,[],True,5,"[6, 10, 12, 16, 18]",False,4,"[6, 10, 12, 16]",1,[6],3,"[10, 12, 16]",False,False,False,32,1,6,33,2,4,33,2,4,49,18,3,33,2,4,49,18,3,1,[6],True
37,41,4,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",4,"[4, 6, 10, 12]",False,4,"[4, 6, 10, 12]",False,3,"[4, 6, 10]",1,[4],2,"[6, 10]",False,False,False,38,1,4,49,12,3,38,1,4,49,12,3,38,1,4,49,12,3,1,[4],True
41,43,2,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],False,1,[2],False,1,[2],1,[2],0,[],False,True,True,42,1,8,44,3,6,42,1,8,44,3,6,42,1,8,44,3,6,1,[2],True
43,47,4,34,34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",0,[],True,2,"[4, 6]",False,1,[4],1,[4],0,[],False,True,True,44,1,6,46,3,4,46,3,4,49,6,3,46,3,4,49,6,3,1,[4],True
