anchor_p,candidate_offset,old_carrier,old_carrier_offset,old_carrier_d,new_carrier,new_carrier_offset,new_carrier_d,actual_offset,reset_before_actual_boundary,reset_at_or_after_actual_boundary
11,6,12,1,6,14,3,4,2,False,True
11,18,14,3,4,25,14,3,2,False,True
13,16,14,1,4,25,12,3,4,False,True
17,6,18,1,6,21,4,4,2,False,True
17,12,21,4,4,25,8,3,2,False,True
19,10,21,2,4,25,6,3,4,False,True
29,8,30,1,8,33,4,4,2,False,True
29,24,33,4,4,49,20,3,2,False,True
31,22,33,2,4,49,18,3,6,False,True
37,16,38,1,4,49,12,3,4,False,True
41,6,42,1,8,46,5,4,2,False,True
41,12,46,5,4,49,8,3,2,False,True
43,10,46,3,4,49,6,3,4,False,True
47,6,48,1,10,49,2,3,6,True,False
53,74,55,2,4,121,68,3,6,False,True
59,8,60,1,12,62,3,4,2,False,True
59,68,62,3,4,121,62,3,2,False,True
61,66,62,1,4,121,60,3,6,False,True
67,60,69,2,4,121,54,3,4,False,True
71,6,72,1,12,74,3,4,2,False,True
71,56,74,3,4,121,50,3,2,False,True
73,54,74,1,4,121,48,3,6,False,True
79,48,82,3,4,121,42,3,4,False,True
83,44,85,2,4,121,38,3,6,False,True
89,8,90,1,12,91,2,4,8,True,False
89,38,91,2,4,121,32,3,8,False,True
97,10,98,1,6,106,9,4,4,False,True
97,30,106,9,4,121,24,3,4,False,True
101,6,102,1,8,106,5,4,2,False,True
101,26,106,5,4,121,20,3,2,False,True
103,24,106,3,4,121,18,3,4,False,True
107,6,108,1,12,111,4,4,2,False,True
107,20,111,4,4,121,14,3,2,False,True
109,18,111,2,4,121,12,3,4,False,True
113,14,115,2,4,121,8,3,14,True,False
127,46,129,2,4,169,42,3,4,False,True
131,6,132,1,12,133,2,4,6,True,False
131,42,133,2,4,169,38,3,6,False,True
137,6,138,1,8,141,4,4,2,False,True
137,36,141,4,4,169,32,3,2,False,True
139,34,141,2,4,169,30,3,10,False,True
149,8,150,1,12,155,6,4,2,False,True
149,24,155,6,4,169,20,3,2,False,True
151,22,155,4,4,169,18,3,6,False,True
157,16,158,1,4,169,12,3,6,False,True
163,10,166,3,4,169,6,3,4,False,True
167,6,168,1,16,169,2,3,6,True,False
173,120,177,4,4,289,116,3,6,False,True
179,8,180,1,18,183,4,4,2,False,True
179,114,183,4,4,289,110,3,2,False,True
181,112,183,2,4,289,108,3,10,False,True
191,6,192,1,14,194,3,4,2,False,True
191,102,194,3,4,289,98,3,2,False,True
193,100,194,1,4,289,96,3,4,False,True
197,6,198,1,12,201,4,4,2,False,True
197,96,201,4,4,289,92,3,2,False,True
199,94,201,2,4,289,90,3,12,False,True
211,82,213,2,4,289,78,3,12,False,True
223,70,226,3,4,289,66,3,4,False,True
227,6,228,1,12,230,3,8,2,False,True
227,12,230,3,8,235,8,4,2,False,True
227,66,235,8,4,289,62,3,2,False,True
229,10,230,1,8,235,6,4,4,False,True
229,64,235,6,4,289,60,3,4,False,True
233,60,235,2,4,289,56,3,6,False,True
239,8,240,1,20,242,3,6,2,False,True
239,12,242,3,6,247,8,4,2,False,True
239,54,247,8,4,289,50,3,2,False,True
241,10,242,1,6,247,6,4,10,True,False
241,52,247,6,4,289,48,3,10,False,True
251,6,252,1,18,253,2,4,6,True,False
251,42,253,2,4,289,38,3,6,False,True
257,6,258,1,8,259,2,4,6,True,False
257,36,259,2,4,289,32,3,6,False,True
263,30,265,2,4,289,26,3,6,False,True
269,8,270,1,16,274,5,4,2,False,True
269,24,274,5,4,289,20,3,2,False,True
271,22,274,3,4,289,18,3,6,False,True
277,16,278,1,4,289,12,3,4,False,True
281,6,282,1,8,284,3,6,2,False,True
281,8,284,3,6,287,6,4,2,False,True
281,12,287,6,4,289,8,3,2,False,True
283,6,284,1,6,287,4,4,10,True,False
283,10,287,4,4,289,6,3,10,True,False
293,74,295,2,4,361,68,3,14,False,True
307,60,309,2,4,361,54,3,4,False,True
311,6,312,1,16,314,3,4,2,False,True
311,56,314,3,4,361,50,3,2,False,True
313,54,314,1,4,361,48,3,4,False,True
317,6,318,1,8,319,2,4,14,True,False
317,50,319,2,4,361,44,3,14,False,True
331,36,334,3,4,361,30,3,6,False,True
337,30,339,2,4,361,24,3,10,False,True
347,6,348,1,12,351,4,8,2,False,True
347,12,351,4,8,355,8,4,2,False,True
347,20,355,8,4,361,14,3,2,False,True
349,10,351,2,8,355,6,4,4,False,True
349,18,355,6,4,361,12,3,4,False,True
353,14,355,2,4,361,8,3,6,False,True
359,8,360,1,24,361,2,3,8,True,False
367,6,369,2,6,371,4,4,6,True,False
373,6,374,1,8,377,4,4,6,True,False
389,8,390,1,16,391,2,4,8,True,False
401,6,402,1,8,403,2,4,8,True,False
409,124,411,2,4,529,120,3,10,False,True
419,8,420,1,24,422,3,4,2,False,True
419,114,422,3,4,529,110,3,2,False,True
421,112,422,1,4,529,108,3,10,False,True
431,6,432,1,20,436,5,6,2,False,True
431,8,436,5,6,437,6,4,2,False,True
431,102,437,6,4,529,98,3,2,False,True
433,6,436,3,6,437,4,4,6,True,False
433,100,437,4,4,529,96,3,6,False,True
439,10,442,3,8,445,6,4,4,False,True
439,94,445,6,4,529,90,3,4,False,True
443,90,445,2,4,529,86,3,6,False,True
449,8,450,1,18,451,2,4,8,True,False
449,84,451,2,4,529,80,3,8,False,True
457,76,458,1,4,529,72,3,4,False,True
461,6,462,1,16,466,5,4,2,False,True
461,72,466,5,4,529,68,3,2,False,True
463,70,466,3,4,529,66,3,4,False,True
467,6,468,1,18,469,2,4,12,True,False
467,66,469,2,4,529,62,3,12,False,True
479,8,480,1,24,481,2,4,8,True,False
479,54,481,2,4,529,50,3,8,False,True
487,46,489,2,4,529,42,3,4,False,True
491,6,492,1,12,493,2,4,8,True,False
491,42,493,2,4,529,38,3,8,False,True
499,34,501,2,4,529,30,3,4,False,True
503,30,505,2,4,529,26,3,6,False,True
509,8,510,1,16,511,2,4,12,True,False
509,24,511,2,4,529,20,3,12,False,True
521,6,522,1,12,526,5,4,2,False,True
521,12,526,5,4,529,8,3,2,False,True
523,10,526,3,4,529,6,3,18,True,False
547,6,548,1,6,551,4,4,10,True,False
557,6,558,1,12,559,2,4,6,True,False
569,8,570,1,16,573,4,4,2,False,True
587,6,588,1,18,589,2,4,6,True,False
599,8,600,1,24,603,4,6,2,False,True
599,14,603,4,6,611,12,4,2,False,True
601,12,603,2,6,611,10,4,6,False,True
607,6,609,2,8,611,4,4,6,True,False
617,6,618,1,8,622,5,4,2,False,True
641,12,642,1,8,649,8,4,2,False,True
643,10,645,2,8,649,6,4,4,False,True
647,6,648,1,20,649,2,4,6,True,False
659,8,660,1,24,662,3,4,2,False,True
677,6,678,1,8,679,2,4,6,True,False
701,6,702,1,16,703,2,4,8,True,False
709,10,711,2,6,713,4,4,10,True,False
719,8,720,1,30,721,2,4,8,True,False
719,128,721,2,4,841,122,3,8,False,True
727,6,729,2,7,731,4,4,6,True,False
727,120,731,4,4,841,114,3,6,False,True
733,114,734,1,4,841,108,3,6,False,True
739,10,741,2,8,745,6,4,4,False,True
739,108,745,6,4,841,102,3,4,False,True
743,104,745,2,4,841,98,3,8,False,True
751,96,753,2,4,841,90,3,6,False,True
757,90,758,1,4,841,84,3,4,False,True
761,6,762,1,8,763,2,4,8,True,False
761,86,763,2,4,841,80,3,8,False,True
769,78,771,2,4,841,72,3,4,False,True
773,74,778,5,4,841,68,3,14,False,True
787,60,789,2,4,841,54,3,10,False,True
797,6,798,1,16,799,2,4,12,True,False
797,50,799,2,4,841,44,3,12,False,True
809,8,810,1,20,813,4,4,2,False,True
809,38,813,4,4,841,32,3,2,False,True
811,36,813,2,4,841,30,3,10,False,True
821,12,822,1,8,831,10,4,2,False,True
821,26,831,10,4,841,20,3,2,False,True
823,10,824,1,8,831,8,4,4,False,True
823,24,831,8,4,841,18,3,4,False,True
827,6,828,1,18,831,4,4,2,False,True
827,20,831,4,4,841,14,3,2,False,True
829,18,831,2,4,841,12,3,10,False,True
839,8,840,1,32,841,2,3,14,True,False
853,10,854,1,8,862,9,4,4,False,True
853,114,862,9,4,961,108,3,4,False,True
857,6,858,1,16,862,5,4,2,False,True
857,110,862,5,4,961,104,3,2,False,True
859,108,862,3,4,961,102,3,4,False,True
863,104,865,2,4,961,98,3,14,False,True
877,90,878,1,4,961,84,3,4,False,True
881,6,882,1,18,886,5,4,2,False,True
881,86,886,5,4,961,80,3,2,False,True
883,84,886,3,4,961,78,3,4,False,True
887,6,888,1,16,889,2,4,20,True,False
887,80,889,2,4,961,74,3,20,False,True
907,10,908,1,6,913,6,4,4,False,True
907,60,913,6,4,961,54,3,4,False,True
911,6,912,1,20,913,2,4,8,True,False
911,56,913,2,4,961,50,3,8,False,True
919,48,921,2,4,961,42,3,10,False,True
929,8,930,1,16,933,4,4,8,True,False
929,38,933,4,4,961,32,3,8,False,True
937,30,939,2,4,961,24,3,4,False,True
941,6,942,1,8,943,2,4,6,True,False
941,26,943,2,4,961,20,3,6,False,True
947,6,948,1,12,949,2,4,6,True,False
947,20,949,2,4,961,14,3,6,False,True
953,14,955,2,4,961,8,3,14,True,False
967,10,969,2,8,973,6,4,4,False,True
971,6,972,1,18,973,2,4,6,True,False
977,6,978,1,8,979,2,4,6,True,False
