surface_label,surface_row_index,current_right_prime,actual_next_state,current_state,square_phase_utilization,square_pressure_band,ordinary_regime,high_square_regime,hd_recent_1,hd_recent_2,hd_recent_3,hd_recent_4,hd_recent_6,hd_recent_8,hd_recent_12,triad_return,short_prediction,long_prediction,nontriad_reset_prediction,event_lock_l3_prediction,event_lock_l6_prediction,carrier_regime_prediction,short_hit,long_hit,short_miss,long_repairs_short,long_pollutes_short,nontriad_reset_hit,event_lock_l3_hit,event_lock_l6_hit,carrier_regime_hit,carrier_regime_gate
10^18,3,1000000000000000031,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,2.857142855102041e-09,0,1,0,0,0,0,0,0,0,0,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,4,1000000000000000079,o4_higher_divisor_odd|5<=d<=16,o2_odd_semiprime|d<=4,6.857142872816326e-09,1,0,1,0,0,0,0,0,0,0,0,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,6,1000000000000000183,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,7.142857215306123e-10,0,1,0,1,1,1,1,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,,,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,7,1000000000000000201,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,5.000000058571429e-09,1,0,1,0,1,1,1,1,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,,,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,1
10^18,8,1000000000000000283,o6_higher_divisor_odd|5<=d<=16,o6_odd_semiprime|d<=4,6.5714286840816345e-09,1,0,1,0,0,1,1,1,1,1,0,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_even_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,1
10^18,10,1000000000000000387,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,7.857143052448985e-09,1,0,1,1,1,1,1,1,1,1,1,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,,,o4_odd_semiprime|d<=4,0,1,1,1,0,1,0,0,1,1
10^18,11,1000000000000000507,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,7.142857379591845e-10,0,1,0,0,1,1,1,1,1,1,1,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,,,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,12,1000000000000000523,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,3.5714286948979636e-09,0,1,0,0,0,1,1,1,1,1,1,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,1,1,1,0,1,1,1,0,0
10^18,13,1000000000000000583,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,8.571428903265319e-10,0,1,0,0,0,0,1,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,1,0,0
10^18,14,1000000000000000603,o2_higher_divisor_even|d>64,o4_odd_semiprime|d<=4,7.14285742857144e-10,0,1,0,0,0,0,0,1,1,1,0,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,16,1000000000000000621,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,1.2285714792938796e-08,1,0,1,1,1,1,1,1,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,,,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,1
10^18,17,1000000000000000799,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,2.4285715600612316e-09,0,1,0,0,1,1,1,1,1,1,1,o4_odd_semiprime|d<=4,o2_higher_divisor_even|5<=d<=16,o2_higher_divisor_even|5<=d<=16,o2_higher_divisor_even|5<=d<=16,o2_higher_divisor_even|5<=d<=16,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,18,1000000000000000841,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1.0000000570000032e-09,0,1,0,0,0,1,1,1,1,1,1,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,1,1,0,0
10^18,19,1000000000000000861,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,4.2857145373469534e-10,0,1,0,0,0,0,1,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1,1,0,0,0,0,1,1,1,0
10^18,20,1000000000000000877,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1.7142858171428632e-09,0,1,0,0,0,0,0,1,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,1,0,0,0,0
10^18,21,1000000000000000913,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,7.14285758775513e-10,0,1,0,0,0,0,0,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,,o2_odd_semiprime|d<=4,1,1,0,0,0,0,1,0,1,0
10^18,22,1000000000000000931,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,4.142857406224506e-09,0,1,0,0,0,0,0,0,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,23,1000000000000000997,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,5.142857499918392e-09,1,0,1,0,0,0,0,0,1,1,1,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,24,1000000000000001093,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,6.428571911632689e-09,1,0,1,0,0,0,0,0,0,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,25,1000000000000001191,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,5.000000410000034e-09,1,0,1,0,0,0,0,0,0,1,1,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1,0,0,0,1,0,1,1,1,0
10^18,26,1000000000000001267,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,3.142857418979616e-09,0,1,0,0,0,0,0,0,0,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1,1,0,0,0,0,1,1,1,0
10^18,27,1000000000000001323,o4_higher_divisor_odd|5<=d<=16,o4_odd_semiprime|d<=4,1.000000091714294e-09,0,1,0,0,0,0,0,0,0,1,0,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,29,1000000000000001359,o6_higher_divisor_even|5<=d<=16,o4_odd_semiprime|d<=4,6.000000565714339e-09,1,0,1,1,1,1,1,1,1,1,0,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,,,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,1
10^18,31,1000000000000001459,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,5.000000506428623e-09,1,0,1,1,1,1,1,1,1,1,1,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_even_semiprime|d<=4,o6_even_semiprime|d<=4,o6_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,1
10^18,32,1000000000000001537,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1.4285715810204244e-09,0,1,0,0,1,1,1,1,1,1,1,o2_odd_semiprime|d<=4,o6_even_semiprime|d<=4,o6_even_semiprime|d<=4,o6_even_semiprime|d<=4,o6_even_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,33,1000000000000001563,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1.7142859004081835e-09,0,1,0,0,0,1,1,1,1,1,1,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o2_even_semiprime|d<=4,o2_even_semiprime|d<=4,o4_odd_semiprime|d<=4,1,0,0,0,1,0,0,0,1,0
10^18,34,1000000000000001593,o4_even_semiprime|d<=4,o4_odd_semiprime|d<=4,4.285714760204134e-09,0,1,0,0,0,0,1,1,1,1,0,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,35,1000000000000001659,o4_odd_semiprime|d<=4,o4_even_semiprime|d<=4,1.5000001728214485e-09,0,1,0,0,0,0,0,1,1,1,1,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,36,1000000000000001683,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,2.1428573954081932e-09,0,1,0,0,0,0,0,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_even_semiprime|d<=4,o2_odd_semiprime|d<=4,1,1,0,0,0,1,1,0,1,0
10^18,37,1000000000000001729,o4_even_semiprime|d<=4,o2_odd_semiprime|d<=4,8.571429601224614e-10,0,1,0,0,0,0,0,0,1,1,0,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,38,1000000000000001743,o2_odd_semiprime|d<=4,o4_even_semiprime|d<=4,9.285715419234833e-10,0,1,0,0,0,0,0,0,1,1,1,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,39,1000000000000001771,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,3.4285718522449505e-09,0,1,0,0,0,0,0,0,0,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1,1,0,0,0,1,1,1,1,0
10^18,40,1000000000000001827,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,2.571428900938818e-09,0,1,0,0,0,0,0,0,0,1,1,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,1,1,1,0,1,0,0,0,0
10^18,41,1000000000000001879,o4_even_semiprime|d<=4,o2_odd_semiprime|d<=4,5.142857815836823e-09,1,0,1,0,0,0,0,0,0,1,0,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,42,1000000000000001953,o4_odd_semiprime|d<=4,o4_even_semiprime|d<=4,6.785715209056248e-09,1,0,1,0,0,0,0,0,0,1,1,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,43,1000000000000002049,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,3.1428575927347582e-09,0,1,0,0,0,0,0,0,0,0,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,44,1000000000000002097,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,2.0000002942857576e-09,0,1,0,0,0,0,0,0,0,0,1,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,1,1,1,0,1,0,0,0,0
10^18,45,1000000000000002137,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,5.5714294031633896e-09,1,0,1,0,0,0,0,0,0,0,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1,1,0,0,0,1,1,1,1,0
10^18,46,1000000000000002217,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,3.1428576317959944e-09,0,1,0,0,0,0,0,0,0,0,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,47,1000000000000002271,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,1.4285716581633022e-09,0,1,0,0,0,0,0,0,0,0,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1,1,0,0,0,0,1,1,1,0
10^18,48,1000000000000002319,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1.1000001789857434e-08,1,0,1,0,0,0,0,0,0,0,1,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,49,1000000000000002481,o4_even_semiprime|d<=4,o6_odd_semiprime|d<=4,4.285715032040946e-10,0,1,0,0,0,0,0,0,0,0,0,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,50,1000000000000002493,o2_higher_divisor_odd|5<=d<=16,o4_even_semiprime|d<=4,2.142857517091902e-10,0,1,0,0,0,0,0,0,0,0,0,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,54,1000000000000002539,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1.0000001781428888e-09,0,1,0,0,1,1,1,1,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,1,1,1,0,0
10^18,55,1000000000000002557,o2_higher_divisor_odd|5<=d<=16,o2_odd_semiprime|d<=4,2.0000003585714927e-09,0,1,0,0,0,1,1,1,1,1,0,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,59,1000000000000002679,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1.142857358530653e-08,1,0,1,0,1,1,1,1,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,1,1,0,1
10^18,60,1000000000000002851,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,2.8571434293878695e-10,0,1,0,0,0,1,1,1,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
