power,decade_start,steps,start_left_prime,start_right_prime,final_predicted_next_prime,exact_hit_rate,total_skipped_gaps,mean_skipped_gap_count,max_skipped_gap_count,mean_predicted_peak_offset,max_predicted_peak_offset,mean_cutoff_utilization,max_cutoff_utilization,first_open_2_share,first_open_4_share,first_open_6_share,runtime_seconds,runtime_seconds_per_step
2,100,100,97,101,701,1.0,0,0.0,0,2.1,8,0.0328125,0.125,0.39,0.35,0.26,0.015364374965429306,0.00015364374965429306
3,1000,100,997,1009,1723,1.0,0,0.0,0,2.38,12,0.0371875,0.1875,0.38,0.38,0.24,0.018210665904916823,0.00018210665904916823
4,10000,100,9973,10007,10949,1.0,0,0.0,0,2.59,10,0.04046875,0.15625,0.39,0.36,0.25,0.026768249925225973,0.00026768249925225975
5,100000,100,99991,100003,101203,1.0,0,0.0,0,3.07,10,0.04582089552238806,0.14925373134328357,0.33,0.4,0.27,0.036976250004954636,0.00036976250004954635
6,1000000,100,999983,1000003,1001321,1.0,0,0.0,0,3.15,12,0.0328125,0.125,0.4,0.34,0.26,0.05082345800474286,0.0005082345800474286
7,10000000,100,9999991,10000019,10001687,1.0,0,0.0,0,3.9,13,0.03,0.1,0.37,0.37,0.26,0.07112691702786833,0.0007112691702786833
8,100000000,50,99999989,100000007,100000937,1.0,0,0.0,0,4.02,12,0.023647058823529413,0.07058823529411765,0.3,0.36,0.34,0.04689133306965232,0.0009378266613930463
9,1000000000,50,999999937,1000000007,1000001021,1.0,0,0.0,0,4.26,14,0.019813953488372095,0.06511627906976744,0.36,0.36,0.28,0.06904841598588973,0.0013809683197177946
10,10000000000,50,9999999967,10000000019,10000001113,1.0,0,0.0,0,4.86,18,0.018270676691729323,0.06766917293233082,0.46,0.28,0.26,0.09307599999010563,0.0018615199998021125
11,100000000000,20,99999999977,100000000003,100000000379,1.0,0,0.0,0,7.3,30,0.022741433021806853,0.09345794392523364,0.25,0.4,0.35,0.05256166704930365,0.0026280833524651827
12,1000000000000,20,999999999989,1000000000039,1000000000547,1.0,0,0.0,0,4.2,16,0.01099476439790576,0.041884816753926704,0.35,0.5,0.15,0.07563079090323299,0.0037815395451616498
13,10000000000000,20,9999999999971,10000000000037,10000000000657,1.0,0,0.0,0,5.6,16,0.012472160356347439,0.035634743875278395,0.2,0.4,0.4,0.1524772079428658,0.007623860397143289
14,100000000000000,10,99999999999973,100000000000031,100000000000367,1.0,0,0.0,0,5.6,18,0.01076923076923077,0.03461538461538462,0.5,0.3,0.2,0.21769941691309214,0.021769941691309212
15,1000000000000000,10,999999999999989,1000000000000037,1000000000000297,1.0,0,0.0,0,7.0,32,0.01172529313232831,0.05360134003350084,0.5,0.4,0.1,0.7238877499476075,0.07238877499476075
16,10000000000000000,10,9999999999999937,10000000000000061,10000000000000753,1.0,0,0.0,0,10.2,24,0.015022091310751103,0.035346097201767304,0.3,0.6,0.1,2.7733119999757037,0.2773311999975704
17,100000000000000000,10,99999999999999997,100000000000000003,100000000000000339,1.0,0,0.0,0,6.3,20,0.008213820078226857,0.02607561929595828,0.4,0.2,0.4,10.022290499997325,1.0022290499997326
18,1000000000000000000,10,999999999999999989,1000000000000000003,1000000000000000507,1.0,0,0.0,0,6.0,12,0.006984866123399301,0.013969732246798603,0.2,0.5,0.3,39.371231416007504,3.9371231416007504
