left_prime,right_prime,left_residue_mod30,right_residue_mod30,preceding_type_key,preceding_family,preceding_gap_width,following_type_key,following_family,following_gap_width,same_outer_family
3,5,3,5,,,,o2_d4_a1_even_semiprime,even_semiprime,2,
5,7,5,7,o4_d3_a1_prime_square,prime_square,2,o4_d3_a2_prime_square,prime_square,4,True
11,13,11,13,o4_d3_a2_prime_square,prime_square,4,o4_d4_a1_even_semiprime,even_semiprime,4,False
17,19,17,19,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a2_odd_semiprime,odd_semiprime,4,False
29,31,29,1,o6_d3_a2_prime_square,prime_square,6,o6_d4_a2_odd_semiprime,odd_semiprime,6,False
41,43,11,13,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a3_even_semiprime,even_semiprime,4,True
59,61,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a1_even_semiprime,even_semiprime,6,False
71,73,11,13,o4_d4_a2_odd_semiprime,odd_semiprime,4,o4_d4_a1_even_semiprime,even_semiprime,6,False
101,103,11,13,o4_d6_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a3_even_semiprime,even_semiprime,4,False
107,109,17,19,o4_d4_a3_even_semiprime,even_semiprime,4,o4_d4_a2_odd_semiprime,odd_semiprime,4,False
137,139,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d4_a2_odd_semiprime,odd_semiprime,10,True
149,151,29,1,o4_d4_a2_odd_semiprime,odd_semiprime,10,o6_d4_a4_odd_semiprime,odd_semiprime,6,True
179,181,29,1,o6_d4_a4_odd_semiprime,odd_semiprime,6,o6_d4_a2_odd_semiprime,odd_semiprime,10,True
191,193,11,13,o6_d4_a2_odd_semiprime,odd_semiprime,10,o4_d4_a1_even_semiprime,even_semiprime,4,False
197,199,17,19,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a2_odd_semiprime,odd_semiprime,12,False
227,229,17,19,o4_d4_a3_even_semiprime,even_semiprime,4,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,False
239,241,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a6_odd_semiprime,odd_semiprime,10,True
269,271,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a3_even_semiprime,even_semiprime,6,False
281,283,11,13,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d3_a6_prime_square,prime_square,10,False
311,313,11,13,o4_d4_a2_odd_semiprime,odd_semiprime,4,o4_d4_a1_even_semiprime,even_semiprime,4,False
347,349,17,19,o4_d4_a2_odd_semiprime,odd_semiprime,10,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,False
419,421,29,1,o4_d4_a2_odd_semiprime,odd_semiprime,10,o6_d4_a1_even_semiprime,even_semiprime,10,False
431,433,11,13,o6_d4_a1_even_semiprime,even_semiprime,10,o4_d4_a4_odd_semiprime,odd_semiprime,6,False
461,463,11,13,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a3_even_semiprime,even_semiprime,4,True
521,523,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d3_a6_prime_square,prime_square,18,False
569,571,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a2_odd_semiprime,odd_semiprime,6,True
599,601,29,1,o6_d4_a4_odd_semiprime,odd_semiprime,6,o6_d6_a2_higher_divisor_odd,higher_divisor_odd,6,False
617,619,17,19,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a3_even_semiprime,even_semiprime,12,True
641,643,11,13,o6_d4_a2_odd_semiprime,odd_semiprime,10,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,False
659,661,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a1_even_semiprime,even_semiprime,12,False
809,811,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d4_a2_odd_semiprime,odd_semiprime,10,True
821,823,11,13,o6_d4_a2_odd_semiprime,odd_semiprime,10,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,False
827,829,17,19,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a2_odd_semiprime,odd_semiprime,10,False
857,859,17,19,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a3_even_semiprime,even_semiprime,4,False
881,883,11,13,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a3_even_semiprime,even_semiprime,4,True
1019,1021,29,1,o6_d4_a5_even_semiprime,even_semiprime,6,o6_d4_a6_odd_semiprime,odd_semiprime,10,False
1031,1033,11,13,o6_d4_a6_odd_semiprime,odd_semiprime,10,o4_d4_a4_odd_semiprime,odd_semiprime,6,True
1049,1051,29,1,o4_d4_a2_odd_semiprime,odd_semiprime,10,o6_d4_a4_odd_semiprime,odd_semiprime,10,True
1061,1063,11,13,o6_d4_a4_odd_semiprime,odd_semiprime,10,o4_d4_a4_odd_semiprime,odd_semiprime,6,True
1091,1093,11,13,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,o4_d4_a1_even_semiprime,even_semiprime,4,False
1151,1153,11,13,o4_d4_a4_odd_semiprime,odd_semiprime,22,o4_d4_a1_even_semiprime,even_semiprime,10,False
1229,1231,29,1,o6_d4_a3_even_semiprime,even_semiprime,6,o6_d4_a3_even_semiprime,even_semiprime,6,True
1277,1279,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,18,o4_d4_a3_even_semiprime,even_semiprime,4,False
1289,1291,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a2_odd_semiprime,odd_semiprime,6,True
1301,1303,11,13,o4_d4_a2_odd_semiprime,odd_semiprime,4,o4_d4_a3_even_semiprime,even_semiprime,4,False
1319,1321,29,1,o2_d4_a6_odd_semiprime,odd_semiprime,12,o6_d4_a1_even_semiprime,even_semiprime,6,False
1427,1429,17,19,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,False
1451,1453,11,13,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a1_even_semiprime,even_semiprime,6,False
1481,1483,11,13,o6_d4_a2_odd_semiprime,odd_semiprime,10,o4_d4_a3_even_semiprime,even_semiprime,4,False
1487,1489,17,19,o4_d4_a3_even_semiprime,even_semiprime,4,o4_d6_a3_higher_divisor_even,higher_divisor_even,4,False
1607,1609,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d6_a2_higher_divisor_odd,higher_divisor_odd,4,False
1619,1621,29,1,o6_d4_a5_even_semiprime,even_semiprime,6,o6_d4_a1_even_semiprime,even_semiprime,6,True
1667,1669,17,19,o4_d12_a2_higher_divisor_odd,higher_divisor_odd,4,o4_d3_a12_prime_square,prime_square,24,False
1697,1699,17,19,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,o4_d4_a4_odd_semiprime,odd_semiprime,10,False
1721,1723,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d4_a3_even_semiprime,even_semiprime,10,False
1787,1789,17,19,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a4_odd_semiprime,odd_semiprime,12,False
1871,1873,11,13,o4_d6_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a1_even_semiprime,even_semiprime,4,False
1877,1879,17,19,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a3_even_semiprime,even_semiprime,10,True
1931,1933,11,13,o6_d4_a2_odd_semiprime,odd_semiprime,18,o4_d4_a1_even_semiprime,even_semiprime,16,False
1949,1951,29,1,o4_d4_a1_even_semiprime,even_semiprime,16,o6_d4_a3_even_semiprime,even_semiprime,22,True
1997,1999,17,19,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,False
2027,2029,17,19,o4_d4_a1_even_semiprime,even_semiprime,10,o4_d4_a2_odd_semiprime,odd_semiprime,10,False
2081,2083,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d6_a1_higher_divisor_even,higher_divisor_even,4,False
2087,2089,17,19,o4_d6_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a6_odd_semiprime,odd_semiprime,10,False
2111,2113,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d4_a4_odd_semiprime,odd_semiprime,16,True
2129,2131,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,16,o6_d8_a2_higher_divisor_odd,higher_divisor_odd,6,False
2141,2143,11,13,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a4_odd_semiprime,odd_semiprime,10,False
2237,2239,17,19,o6_d4_a6_odd_semiprime,odd_semiprime,16,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,False
2267,2269,17,19,o6_d4_a2_odd_semiprime,odd_semiprime,16,o4_d4_a2_odd_semiprime,odd_semiprime,4,True
2309,2311,29,1,o2_d4_a5_even_semiprime,even_semiprime,12,o6_d4_a4_odd_semiprime,odd_semiprime,22,False
2339,2341,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a1_even_semiprime,even_semiprime,6,False
2381,2383,11,13,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a3_even_semiprime,even_semiprime,6,False
2549,2551,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a3_even_semiprime,even_semiprime,6,False
2591,2593,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d4_a1_even_semiprime,even_semiprime,16,False
2657,2659,17,19,o4_d4_a2_odd_semiprime,odd_semiprime,10,o4_d4_a2_odd_semiprime,odd_semiprime,4,True
2687,2689,17,19,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,o4_d6_a3_higher_divisor_even,higher_divisor_even,4,False
2711,2713,11,13,o4_d6_a1_higher_divisor_even,higher_divisor_even,4,o4_d8_a1_higher_divisor_even,higher_divisor_even,6,True
2729,2731,29,1,o4_d4_a2_odd_semiprime,odd_semiprime,10,o6_d4_a2_odd_semiprime,odd_semiprime,10,True
2789,2791,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d8_a1_higher_divisor_even,higher_divisor_even,6,False
2801,2803,11,13,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d3_a6_prime_square,prime_square,16,False
2969,2971,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a2_odd_semiprime,odd_semiprime,28,True
2999,3001,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,28,o6_d4_a4_odd_semiprime,odd_semiprime,10,True
3119,3121,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,10,o6_d4_a6_odd_semiprime,odd_semiprime,16,True
3167,3169,17,19,o4_d4_a3_even_semiprime,even_semiprime,4,o4_d4_a4_odd_semiprime,odd_semiprime,12,False
3251,3253,11,13,o4_d4_a4_odd_semiprime,odd_semiprime,22,o4_d4_a1_even_semiprime,even_semiprime,4,False
3257,3259,17,19,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a2_odd_semiprime,odd_semiprime,12,False
3299,3301,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,28,o6_d4_a4_odd_semiprime,odd_semiprime,6,True
3329,3331,29,1,o6_d4_a3_even_semiprime,even_semiprime,6,o6_d4_a3_even_semiprime,even_semiprime,12,True
3359,3361,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d4_a4_odd_semiprime,odd_semiprime,10,True
3371,3373,11,13,o6_d4_a4_odd_semiprime,odd_semiprime,10,o4_d4_a4_odd_semiprime,odd_semiprime,16,True
3389,3391,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,16,o6_d4_a3_even_semiprime,even_semiprime,16,False
3461,3463,11,13,o4_d4_a2_odd_semiprime,odd_semiprime,4,o4_d4_a3_even_semiprime,even_semiprime,4,False
