current_right_prime,next_prime,gap_width,first_open_offset,exact_next_dmin,exact_next_peak_offset,cutoff,cutoff_utilization,exact_gap_boundary_offset,boundary_utilization,divisor_ladder
11,13,2,2,6,1,64,0.015625,2,0.03125,6
13,17,4,4,4,1,64,0.015625,4,0.0625,4
19,23,4,4,4,2,64,0.03125,4,0.0625,6 4
23,29,6,6,3,2,64,0.03125,6,0.09375,8 3
29,31,2,2,8,1,64,0.015625,2,0.03125,8
31,37,6,6,4,2,64,0.03125,6,0.09375,6 4
43,47,4,4,4,3,64,0.046875,4,0.0625,6 6 4
47,53,6,2,3,2,64,0.03125,6,0.09375,10 3
59,61,2,2,12,1,64,0.015625,2,0.03125,12
73,79,6,4,4,1,64,0.015625,6,0.09375,4
89,97,8,2,4,2,64,0.03125,8,0.125,12 4
97,101,4,4,6,1,64,0.015625,4,0.0625,6
113,127,14,6,3,8,64,0.125,14,0.21875,8 4 6 6 4 4 16 3
113,127,14,6,3,8,64,0.125,14,0.21875,8 4 6 6 4 4 16 3
139,149,10,4,4,2,64,0.03125,10,0.15625,12 4
151,157,6,6,4,4,64,0.0625,6,0.09375,8 6 8 4
179,181,2,2,18,1,64,0.015625,2,0.03125,18
181,191,10,6,4,2,64,0.03125,10,0.15625,8 4
191,193,2,2,14,1,64,0.015625,2,0.03125,14
199,211,12,4,4,2,64,0.03125,12,0.1875,12 4
211,223,12,6,4,2,64,0.03125,12,0.1875,6 4
229,233,4,4,8,1,64,0.015625,4,0.0625,8
239,241,2,2,20,1,64,0.015625,2,0.03125,20
241,251,10,6,4,6,64,0.09375,10,0.15625,6 6 6 6 8 4
269,271,2,2,16,1,64,0.015625,2,0.03125,16
283,293,10,4,3,6,64,0.09375,10,0.15625,6 8 8 4 18 3
293,307,14,6,4,2,64,0.03125,14,0.21875,12 4
317,331,14,2,4,2,64,0.03125,14,0.21875,8 4
349,353,4,4,8,2,64,0.03125,4,0.0625,12 8
359,367,8,2,3,2,64,0.03125,8,0.125,24 3
367,373,6,4,4,4,64,0.0625,6,0.09375,10 6 8 4
419,421,2,2,24,1,64,0.015625,2,0.03125,24
439,443,4,4,8,3,64,0.046875,4,0.0625,16 9 8
523,541,18,4,3,6,64,0.09375,18,0.28125,6 12 4 4 20 3
601,607,6,6,6,2,64,0.03125,6,0.09375,8 6
839,853,14,2,3,2,64,0.03125,14,0.21875,32 3
887,907,20,2,4,2,64,0.03125,20,0.3125,16 4
929,937,8,2,4,4,64,0.0625,8,0.125,16 6 6 4
1069,1087,18,4,4,4,64,0.0625,18,0.28125,8 12 10 4
