left_prime,right_prime,gap,left_prime_mod_wheel,winner_value,winner_divisor_count,winner_offset,earlier_value,earlier_divisor_count,earlier_offset,first_d4_offset,square_margin,first_later_dominator_offset,critical_ratio_margin,bridge_load
280127167,280127171,4,7327,280127169,27,2,280127168,28,1,,133910,1,0.03999999981646951,4.588263102789365e-09
388609999,388610003,4,21799,388610002,48,3,388610000,50,1,,150086,2,0.04347826060935045,5.98493898884556e-09
409201549,409201553,4,12769,409201552,40,3,409201551,42,2,,91808,1,0.05263157882412983,2.3415320793418484e-09
451649599,451649603,4,28429,451649601,40,2,451649600,42,1,,720758,1,0.05263157883626546,2.110955188427968e-09
566638399,566638403,4,2329,566638401,40,2,566638400,42,1,,420566,1,0.0526315788598084,1.663639226379134e-09
152491597,152491601,4,29287,152491600,60,3,152491598,64,1,,599528,2,0.06896551654532557,1.0092778057746455e-08
152491597,152491601,4,29287,152491600,60,3,152491599,64,2,,599528,1,0.06896551689335229,5.046390638696613e-09
765597823,765597827,4,13003,765597825,60,2,765597824,64,1,,197102,1,0.06896551717752719,9.258545041745958e-10
139334413,139334417,4,25243,139334416,45,3,139334414,48,1,,70832,2,0.06976744109501798,1.0971407560234085e-08
103684909,103684913,4,21349,103684912,30,3,103684910,32,1,,212336,2,0.07142857038347472,1.4631353462135628e-08
107843629,107843633,4,5899,107843632,30,3,107843630,32,1,,129248,2,0.07142857042591255,1.4037223827756413e-08
115550797,115550801,4,25387,115550800,30,3,115550798,32,1,,76208,2,0.07142857049626872,1.3052237513022653e-08
117602497,117602501,4,5017,117602500,30,3,117602498,32,1,,54908,2,0.07142857051340123,1.2812382266247373e-08
120470029,120470033,4,19699,120470032,30,3,120470030,32,1,,68408,2,0.07142857053634177,1.2491214729237759e-08
124032397,124032401,4,8497,124032400,30,3,124032398,32,1,,267800,2,0.07142857056332286,1.2113479552766653e-08
124997497,124997501,4,12637,124997500,30,3,124997498,32,1,,375308,2,0.07142857057036012,1.2014957917472207e-08
131392909,131392913,4,11659,131392912,30,3,131392910,32,1,,99176,2,0.07142857061431207,1.139963057283922e-08
133237453,133237457,4,24373,133237456,30,3,133237454,32,1,,141944,2,0.07142857062618302,1.1233437291480191e-08
146822509,146822513,4,5839,146822512,30,3,146822510,32,1,,47648,2,0.07142857070418529,1.0141405493158123e-08
221071211,221071217,6,20381,221071216,30,5,221071213,32,2,,15944,3,0.07142857072230058,9.88779147448327e-09
170227693,170227697,4,17653,170227696,30,3,170227694,32,1,,48704,2,0.0714285708086595,8.67876659427225e-09
176062093,176062097,4,26233,176062096,30,3,176062094,32,1,,588584,2,0.07142857083026621,8.376272564447621e-09
181749229,181749233,4,7669,181749232,30,3,181749230,32,1,,149936,2,0.07142857084995691,8.100602855165565e-09
103684909,103684913,4,21349,103684912,30,3,103684911,32,2,,212336,1,0.07142857090602317,7.315675176755579e-09
201946093,201946097,4,24373,201946096,30,3,201946094,32,1,,290744,2,0.0714285709106941,7.250282152426738e-09
203330797,203330801,4,27697,203330800,30,3,203330798,32,1,,616160,2,0.07142857091440447,7.198337037550576e-09
107843629,107843633,4,5899,107843632,30,3,107843631,32,2,,129248,1,0.07142857092724197,7.0186119138782066e-09
209328013,209328017,4,18913,209328016,30,3,209328014,32,1,,313424,2,0.07142857092989319,6.981494937718938e-09
211608109,211608113,4,16729,211608112,30,3,211608110,32,1,,65288,2,0.07142857093554511,6.902368010486274e-09
221071211,221071217,6,20381,221071216,30,5,221071214,32,3,,15944,2,0.07142857095772404,6.591863055405159e-09
221827597,221827601,4,26017,221827600,30,3,221827598,32,1,,93008,2,0.07142857095941313,6.568215749069853e-09
115550797,115550801,4,25387,115550800,30,3,115550799,32,2,,76208,1,0.07142857096242006,6.5261187565113265e-09
228272497,228272501,4,14467,228272500,30,3,228272498,32,1,,372140,2,0.0714285709733371,6.3732801258709085e-09
119602573,119602577,4,23113,119602575,30,2,119602574,32,1,,15392,1,0.07142857097904631,6.293351173525255e-09
232637689,232637693,4,25309,232637692,30,3,232637690,32,1,,199388,2,0.07142857098231858,6.247539374726332e-09
