left_prime,right_prime,gap,left_prime_mod_wheel,winner_value,winner_divisor_count,winner_offset,earlier_value,earlier_divisor_count,earlier_offset,first_d4_offset,square_margin,first_later_dominator_offset,critical_ratio_margin,bridge_load
2486509,2486513,4,24049,2486512,30,3,2486510,32,1,,6728,2,0.07142851680962803,7.646652071535701e-07
2486509,2486513,4,24049,2486512,30,3,2486511,32,2,,6728,1,0.07142854411910604,3.823325149809877e-07
6936973,6936977,4,43,6936976,30,3,6936974,32,1,,69632,2,0.0714285531259291,2.562369920688924e-07
3707773,3707777,4,14083,3707775,30,2,3707774,32,1,,20984,1,0.07142855359804168,2.4962741607126315e-07
18497533,18497537,4,29083,18497536,30,3,18497534,32,1,,225392,2,0.07142856496699501,9.046206939089533e-08
18497533,18497537,4,29083,18497536,30,3,18497535,32,2,,225392,1,0.07142856819778354,4.5231030032510964e-08
19778173,19778177,4,18433,19778175,30,2,19778174,32,1,,33224,1,0.07142856841901679,4.213376447737007e-08
149767,149771,4,29647,149769,15,2,149768,16,1,,1550,1,0.07692251662605676,7.283861261475627e-06
1008013,1008017,4,17023,1008016,15,3,1008014,16,1,,10064,2,0.07692293339224032,1.865900875142047e-06
13229053,13229057,4,15853,13229056,22,3,13229054,24,1,,42392,2,0.09999999078039656,9.219603525068002e-08
2557897,2557901,4,5347,2557900,18,3,2557899,20,2,,5300,1,0.1249999735036389,2.1197088884150617e-07
7002223,7002227,4,5233,7002225,18,2,7002224,20,1,,4382,1,0.12499999093933956,7.248528355319195e-08
11754313,11754317,4,12583,11754316,18,3,11754315,20,2,,31172,1,0.12499999477416823,4.180665413855422e-08
16989487,16989491,4,22537,16989489,18,2,16989488,20,1,,42638,1,0.12499999646446702,2.8284263819955413e-08
824227,824231,4,13417,824229,32,2,824228,36,1,,5690,1,0.1333332442687496,6.679843778112372e-07
1790557,1790561,4,18787,1790559,32,2,1790558,36,1,,61760,1,0.1333332945443697,2.9091722697494054e-07
5702227,5702231,4,26557,5702230,32,3,5702228,36,1,,5090,2,0.13333331078693655,1.6909797562192355e-07
7149823,7149827,4,2683,7149826,32,3,7149824,36,1,,16502,2,0.13333331560956418,1.329282683926181e-07
3877663,3877667,4,3793,3877665,32,2,3877664,36,1,,15062,1,0.13333331633435175,1.2749236166786917e-07
9343123,9343127,4,3793,9343126,32,3,9343124,36,1,,26594,2,0.13333331999631626,1.0002762784733224e-07
4997887,4997891,4,12907,4997889,32,2,4997888,36,1,,6278,1,0.13333332036149237,9.728880701054268e-08
5342299,5342303,4,26989,5342301,32,2,5342300,36,1,,100586,1,0.13333332124997765,9.06251673704617e-08
5702227,5702231,4,26557,5702230,32,3,5702229,36,2,,5090,1,0.13333332206013604,8.454897948428909e-08
6984949,6984953,4,17989,6984951,32,2,6984950,36,1,,21656,1,0.13333332424884192,6.813368536029431e-08
7149823,7149827,4,2683,7149826,32,3,7149825,36,2,,16502,1,0.1333333244714494,6.646412920030544e-08
7672123,7672127,4,14473,7672125,32,2,7672124,36,1,,39602,1,0.1333333251114739,6.166394561635259e-08
15221203,15221207,4,26023,15221206,32,3,15221204,36,1,,43442,2,0.13333332538835485,5.9587338396838176e-08
15675307,15675311,4,29677,15675310,32,3,15675308,36,1,,61778,2,0.1333333256322049,5.7758463012369545e-08
17156203,17156207,4,9073,17156206,32,3,17156204,36,1,,91202,2,0.133333326335086,5.248685486236583e-08
