p,square,previous_prime,offset,o_q,dynamic_cutoff,dynamic_cutoff_utilization,elapsed_seconds
3,9,7,2,4,64,0.03125,2.09808349609375e-05
11,121,113,8,6,64,0.125,3.1948089599609375e-05
41,1681,1669,12,4,64,0.1875,5.507469177246094e-05
109,11881,11867,14,2,64,0.21875,7.390975952148438e-05
157,24649,24631,18,6,64,0.28125,8.487701416015625e-05
199,39601,39581,20,2,64,0.3125,0.00010895729064941406
397,157609,157579,30,4,72,0.4166666666666667,0.000186920166015625
509,259081,259033,48,4,78,0.6153846153846154,0.00023293495178222656
3929,15437041,15436943,98,6,137,0.7153284671532847,0.002048969268798828
6424279,41271360669841,41271360669481,360,6,492,0.7317073170731707,5.366484880447388
33701407,1135784833779649,1135784833779203,446,6,601,0.7420965058236273,28.419256925582886
82357433,6782746770349489,6782746770348949,540,4,665,0.8120300751879699,69.81274104118347
