exponent,preceding_prime,preceding_gap,winner,winner_offset,winner_divisor_count,claim_filter_pass,calibrated_filter_pass
5,3,2,4,1,3,True,True
7,5,2,6,1,4,True,True
11,7,4,9,2,3,True,True
13,11,2,12,1,6,True,True
17,13,4,14,1,4,True,True
19,17,2,18,1,6,True,True
23,19,4,21,2,4,True,True
29,23,6,25,2,3,True,True
31,29,2,30,1,8,True,True
37,31,6,33,2,4,True,True
41,37,4,38,1,4,True,True
43,41,2,42,1,8,True,True
47,43,4,46,3,4,True,True
53,47,6,49,2,3,True,True
59,53,6,55,2,4,True,True
61,59,2,60,1,12,False,True
67,61,6,62,1,4,True,True
71,67,4,69,2,4,True,True
73,71,2,72,1,12,False,True
79,73,6,74,1,4,True,True
83,79,4,82,3,4,True,True
89,83,6,85,2,4,True,True
97,89,8,91,2,4,True,True
101,97,4,98,1,6,True,True
103,101,2,102,1,8,True,True
107,103,4,106,3,4,True,True
109,107,2,108,1,12,False,True
113,109,4,111,2,4,True,True
127,113,14,121,8,3,True,True
131,127,4,129,2,4,True,True
137,131,6,133,2,4,True,True
139,137,2,138,1,8,True,True
149,139,10,141,2,4,True,True
151,149,2,150,1,12,False,True
157,151,6,155,4,4,True,True
163,157,6,158,1,4,True,True
167,163,4,166,3,4,True,True
173,167,6,169,2,3,True,True
179,173,6,177,4,4,True,True
181,179,2,180,1,18,False,True
191,181,10,183,2,4,True,True
193,191,2,192,1,14,False,True
197,193,4,194,1,4,True,True
199,197,2,198,1,12,False,True
