scale,radius,ranker,shadow_count,true_boundary_right_of_shadow_count,true_boundary_within_radius_count,right_chamber_candidate_count,right_chamber_open_candidate_count,rank_of_true_boundary_by_boundary_score,top1_recall,top2_recall,top4_recall,top8_recall,audit_failed_after_reorientation_if_top1
1000000000000,16,ranker_a,102,102,36,1632,389,1.0,0.18627450980392157,0.2647058823529412,0.35294117647058826,0.35294117647058826,83
1000000000000,16,ranker_b,102,102,36,1632,389,1.0,0.3431372549019608,0.3431372549019608,0.35294117647058826,0.35294117647058826,67
1000000000000,16,ranker_c,102,102,36,1632,389,1.0,0.3235294117647059,0.35294117647058826,0.35294117647058826,0.35294117647058826,69
1000000000000,16,ranker_d,102,102,36,1632,389,1.0,0.2549019607843137,0.29411764705882354,0.35294117647058826,0.35294117647058826,76
1000000000000,32,ranker_a,102,102,72,3264,852,4.0,0.18627450980392157,0.2647058823529412,0.37254901960784315,0.6862745098039216,83
1000000000000,32,ranker_b,102,102,72,3264,852,1.0,0.5490196078431373,0.5490196078431373,0.5588235294117647,0.696078431372549,46
1000000000000,32,ranker_c,102,102,72,3264,852,1.0,0.4803921568627451,0.6470588235294118,0.7058823529411765,0.7058823529411765,53
1000000000000,32,ranker_d,102,102,72,3264,852,2.0,0.3235294117647059,0.46078431372549017,0.5686274509803921,0.7058823529411765,69
1000000000000,64,ranker_a,102,102,93,6502,1701,5,0.18627450980392157,0.2647058823529412,0.37254901960784315,0.6862745098039216,83
1000000000000,64,ranker_b,102,102,93,6502,1701,1,0.5882352941176471,0.5882352941176471,0.5980392156862745,0.7352941176470589,42
1000000000000,64,ranker_c,102,102,93,6502,1701,2,0.24509803921568626,0.5294117647058824,0.8725490196078431,0.9117647058823529,77
1000000000000,64,ranker_d,102,102,93,6502,1701,2,0.3431372549019608,0.49019607843137253,0.6470588235294118,0.8529411764705882,67
1000000000000,128,ranker_a,102,102,102,11106,2930,6.0,0.18627450980392157,0.2647058823529412,0.37254901960784315,0.6862745098039216,83
1000000000000,128,ranker_b,102,102,102,11106,2930,1.0,0.5882352941176471,0.5882352941176471,0.5980392156862745,0.7352941176470589,42
1000000000000,128,ranker_c,102,102,102,11106,2930,4.0,0.0784313725490196,0.22549019607843138,0.5784313725490197,0.9803921568627451,94
1000000000000,128,ranker_d,102,102,102,11106,2930,3.0,0.3333333333333333,0.4803921568627451,0.6470588235294118,0.9019607843137255,68
1000000000000000,16,ranker_a,141,141,47,2256,541,2,0.12056737588652482,0.1773049645390071,0.3333333333333333,0.3333333333333333,124
1000000000000000,16,ranker_b,141,141,47,2256,541,1,0.28368794326241137,0.2907801418439716,0.3333333333333333,0.3333333333333333,101
1000000000000000,16,ranker_c,141,141,47,2256,541,1,0.2553191489361702,0.3333333333333333,0.3333333333333333,0.3333333333333333,105
1000000000000000,16,ranker_d,141,141,47,2256,541,1,0.18439716312056736,0.24113475177304963,0.3333333333333333,0.3333333333333333,115
1000000000000000,32,ranker_a,141,141,92,4512,1180,4.0,0.12056737588652482,0.1773049645390071,0.3617021276595745,0.6312056737588653,124
1000000000000000,32,ranker_b,141,141,92,4512,1180,1.0,0.475177304964539,0.48226950354609927,0.524822695035461,0.6312056737588653,74
1000000000000000,32,ranker_c,141,141,92,4512,1180,1.0,0.4397163120567376,0.5390070921985816,0.6524822695035462,0.6524822695035462,79
1000000000000000,32,ranker_d,141,141,92,4512,1180,1.0,0.3404255319148936,0.425531914893617,0.5673758865248227,0.6524822695035462,93
1000000000000000,64,ranker_a,141,141,127,9002,2352,6,0.12056737588652482,0.1773049645390071,0.3617021276595745,0.6312056737588653,124
1000000000000000,64,ranker_b,141,141,127,9002,2352,1,0.5319148936170213,0.5390070921985816,0.5815602836879432,0.6879432624113475,66
1000000000000000,64,ranker_c,141,141,127,9002,2352,2,0.2553191489361702,0.49645390070921985,0.851063829787234,0.900709219858156,105
1000000000000000,64,ranker_d,141,141,127,9002,2352,2,0.36879432624113473,0.49645390070921985,0.6879432624113475,0.8581560283687943,89
1000000000000000,128,ranker_a,141,141,141,15688,4152,6,0.12056737588652482,0.1773049645390071,0.3617021276595745,0.6312056737588653,124
1000000000000000,128,ranker_b,141,141,141,15688,4152,1,0.5390070921985816,0.5460992907801419,0.5886524822695035,0.6950354609929078,65
1000000000000000,128,ranker_c,141,141,141,15688,4152,5,0.07801418439716312,0.22695035460992907,0.49645390070921985,0.9787234042553191,130
1000000000000000,128,ranker_d,141,141,141,15688,4152,2,0.375886524822695,0.5035460992907801,0.6737588652482269,0.8865248226950354,88
1000000000000000000,16,ranker_a,145,145,53,2320,557,2,0.12413793103448276,0.2,0.3586206896551724,0.36551724137931035,127
1000000000000000000,16,ranker_b,145,145,53,2320,557,1,0.3103448275862069,0.3310344827586207,0.36551724137931035,0.36551724137931035,100
1000000000000000000,16,ranker_c,145,145,53,2320,557,1,0.296551724137931,0.36551724137931035,0.36551724137931035,0.36551724137931035,102
1000000000000000000,16,ranker_d,145,145,53,2320,557,1,0.2206896551724138,0.296551724137931,0.36551724137931035,0.36551724137931035,113
1000000000000000000,32,ranker_a,145,145,86,4640,1219,4.0,0.12413793103448276,0.2,0.38620689655172413,0.5724137931034483,127
1000000000000000000,32,ranker_b,145,145,86,4640,1219,1.0,0.41379310344827586,0.43448275862068964,0.47586206896551725,0.5793103448275863,85
1000000000000000000,32,ranker_c,145,145,86,4640,1219,1.0,0.35172413793103446,0.5586206896551724,0.593103448275862,0.593103448275862,94
1000000000000000000,32,ranker_d,145,145,86,4640,1219,1.0,0.31724137931034485,0.41379310344827586,0.5379310344827586,0.5793103448275863,99
1000000000000000000,64,ranker_a,145,145,119,9280,2433,5,0.12413793103448276,0.2,0.38620689655172413,0.5724137931034483,127
1000000000000000000,64,ranker_b,145,145,119,9280,2433,1,0.4689655172413793,0.4896551724137931,0.5310344827586206,0.6344827586206897,77
