scale,anchor_p,seed_s0,terminal_q,terminal_index,chain_index,node_n,least_factor_for_audit_only,sqrt_node,left_distance,center_distance,sqrt_minus_least_factor,two_lane_distance,least_factor_over_sqrt_node,center_distance_over_sqrt_node,two_lane_distance_over_sqrt_node,lane,closure_lane,node_offset_from_anchor,node_offset_from_seed,seed_offset,delta_prev,delta_next,prefix_delta_vector,chain_delta_vector,carrier_to_node_delta,node_mod_30,offset_mod_30,candidate_bound,visible_divisor_bound
1000000000000,999999999767,999999999781,999999999847,7,1,999999999787,14887,999999,14887,985112,985112,14887,0.014887014887014887,0.9851129851129851,0.014887014887014887,low_factor,small_shadow_horizon,20,6,14,6,6,[6],"[6,6,16,2,18,10,8,10]",20,7,20,128,10000
1000000000000,999999999767,999999999781,999999999847,7,2,999999999793,15467,999999,15467,984532,984532,15467,0.015467015467015467,0.9845329845329845,0.015467015467015467,low_factor,small_shadow_horizon,26,12,14,6,16,"[6,6]","[6,6,16,2,18,10,8,10]",26,13,26,128,10000
1000000000000,999999999767,999999999781,999999999847,7,3,999999999809,19001,999999,19001,980998,980998,19001,0.019001019001019002,0.980998980998981,0.019001019001019002,low_factor,small_shadow_horizon,42,28,14,16,2,"[6,6,16]","[6,6,16,2,18,10,8,10]",42,29,12,128,10000
1000000000000,999999999767,999999999781,999999999847,7,4,999999999811,10211,999999,10211,989788,989788,10211,0.01021101021101021,0.9897889897889898,0.01021101021101021,low_factor,small_shadow_horizon,44,30,14,2,18,"[6,6,16,2]","[6,6,16,2,18,10,8,10]",44,1,14,128,10000
1000000000000,999999999767,999999999781,999999999847,7,5,999999999829,198937,999999,198937,801062,801062,198937,0.19893719893719894,0.801062801062801,0.19893719893719894,low_factor,small_shadow_horizon,62,48,14,18,10,"[6,6,16,2,18]","[6,6,16,2,18,10,8,10]",62,19,2,128,10000
1000000000000,999999999767,999999999781,999999999847,7,6,999999999839,185819,999999,185819,814180,814180,185819,0.18581918581918583,0.8141808141808142,0.18581918581918583,low_factor,small_shadow_horizon,72,58,14,10,8,"[6,6,16,2,18,10]","[6,6,16,2,18,10,8,10]",72,29,12,128,10000
1000000000000,999999999707,999999999743,999999999767,2,1,999999999751,150343,999999,150343,849656,849656,150343,0.15034315034315035,0.8496568496568496,0.15034315034315035,low_factor,small_shadow_horizon,44,8,36,8,16,[8],"[8,16,14,6,6,16,2,18]",44,1,14,128,10000
1000000000000,999999999617,999999999641,999999999673,3,1,999999999667,240571,999999,240571,759428,759428,240571,0.24057124057124057,0.7594287594287594,0.24057124057124057,low_factor,small_shadow_horizon,50,26,24,26,4,[26],"[26,4,2,24,10,36]",50,7,20,128,10000
1000000000000,999999999617,999999999641,999999999673,3,2,999999999671,12377,999999,12377,987622,987622,12377,0.012377012377012378,0.9876229876229876,0.012377012377012378,low_factor,small_shadow_horizon,54,30,24,4,2,"[26,4]","[26,4,2,24,10,36]",54,11,24,128,10000
1000000000000,999999999529,999999999541,999999999571,2,1,999999999547,815519,999999,815519,184480,184480,184480,0.8155198155198156,0.18448018448018447,0.18448018448018447,sqrt_adjacent,balanced_semiprime_center,18,6,12,6,24,[6],"[6,24,6,10,2,10,12,6]",18,7,18,128,10000
