scale,rule_id,anchor_p,seed_q0,true_q_for_audit_only,upper_bound,seed_least_factor_for_audit_only,seed_to_true_delta,least_factor_equals_seed_to_true_delta,selected_q,selected_delta_from_true,failure_mode,positions_checked,materialized_witness_count,did_evaluate,failure_reason,pure_pgs_eligible_input
1000000000000,visible_prime_residue_advance,999999999989,1000000000007,1000000000039,1000000000117,34519,32,False,1000000000039,0,correct,32,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999999989,1000000000007,1000000000039,1000000000117,34519,32,False,1000000000039,0,correct,32,0,True,,True
1000000000000,visible_integer_residue_advance,999999999989,1000000000007,1000000000039,1000000000117,34519,32,False,1000000000039,0,correct,32,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999999989,1000000000007,1000000000039,1000000000117,34519,32,False,1000000000039,0,correct,32,0,True,,True
1000000000000,materialized_witness_residue_advance,999999999989,1000000000007,1000000000039,1000000000117,34519,32,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,materialized_witness_residue_advance_wheel_open,999999999989,1000000000007,1000000000039,1000000000117,34519,32,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,audit_q0_plus_least_factor,999999999989,1000000000007,1000000000039,1000000000117,34519,32,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999999989,1000000000007,1000000000039,1000000000117,34519,32,False,,,no_selection,0,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999999989,1000000000007,1000000000039,1000000000117,34519,32,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999999961,999999999967,999999999989,1000000000089,32983,22,False,999999999989,0,correct,22,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999999961,999999999967,999999999989,1000000000089,32983,22,False,999999999989,0,correct,22,0,True,,True
1000000000000,visible_integer_residue_advance,999999999961,999999999967,999999999989,1000000000089,32983,22,False,999999999989,0,correct,22,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999999961,999999999967,999999999989,1000000000089,32983,22,False,999999999989,0,correct,22,0,True,,True
1000000000000,materialized_witness_residue_advance,999999999961,999999999967,999999999989,1000000000089,32983,22,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,materialized_witness_residue_advance_wheel_open,999999999961,999999999967,999999999989,1000000000089,32983,22,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,audit_q0_plus_least_factor,999999999961,999999999967,999999999989,1000000000089,32983,22,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999999961,999999999967,999999999989,1000000000089,32983,22,False,,,no_selection,0,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999999961,999999999967,999999999989,1000000000089,32983,22,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999999863,999999999871,999999999877,999999999991,28921,6,False,999999999877,0,correct,6,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999999863,999999999871,999999999877,999999999991,28921,6,False,999999999877,0,correct,6,0,True,,True
1000000000000,visible_integer_residue_advance,999999999863,999999999871,999999999877,999999999991,28921,6,False,999999999877,0,correct,6,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999999863,999999999871,999999999877,999999999991,28921,6,False,999999999877,0,correct,6,0,True,,True
1000000000000,materialized_witness_residue_advance,999999999863,999999999871,999999999877,999999999991,28921,6,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,materialized_witness_residue_advance_wheel_open,999999999863,999999999871,999999999877,999999999991,28921,6,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,audit_q0_plus_least_factor,999999999863,999999999871,999999999877,999999999991,28921,6,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999999863,999999999871,999999999877,999999999991,28921,6,False,,,no_selection,0,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999999863,999999999871,999999999877,999999999991,28921,6,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999999767,999999999781,999999999847,999999999895,216523,66,False,999999999787,-60,selected_too_early,6,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999999767,999999999781,999999999847,999999999895,216523,66,False,999999999787,-60,selected_too_early,6,0,True,,True
1000000000000,visible_integer_residue_advance,999999999767,999999999781,999999999847,999999999895,216523,66,False,999999999787,-60,selected_too_early,6,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999999767,999999999781,999999999847,999999999895,216523,66,False,999999999787,-60,selected_too_early,6,0,True,,True
1000000000000,materialized_witness_residue_advance,999999999767,999999999781,999999999847,999999999895,216523,66,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,materialized_witness_residue_advance_wheel_open,999999999767,999999999781,999999999847,999999999895,216523,66,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,audit_q0_plus_least_factor,999999999767,999999999781,999999999847,999999999895,216523,66,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999999767,999999999781,999999999847,999999999895,216523,66,False,,,no_selection,0,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999999767,999999999781,999999999847,999999999895,216523,66,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999999707,999999999743,999999999767,999999999835,69221,24,False,999999999751,-16,selected_too_early,8,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999999707,999999999743,999999999767,999999999835,69221,24,False,999999999751,-16,selected_too_early,8,0,True,,True
1000000000000,visible_integer_residue_advance,999999999707,999999999743,999999999767,999999999835,69221,24,False,999999999751,-16,selected_too_early,8,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999999707,999999999743,999999999767,999999999835,69221,24,False,999999999751,-16,selected_too_early,8,0,True,,True
