scale,source,rule_id,rows,correct,selected_too_early,selected_too_late,no_selection,would_create_audit_failures,projected_pgs_percent,precision_percent,false_positive_percent,true_q_zero_defect_count,selected_zero_defect_count,pure_pgs_eligible_input,promotion_eligible
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,102,30,19,53,0,72,71.54150197628458,29.41176470588235,70.58823529411765,47,102,True,False
1000000000000,shadow_seed_recovery,literal_reanchor_identity,102,60,42,0,0,42,83.39920948616601,58.8235294117647,41.1764705882353,102,102,True,False
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,102,35,23,44,0,67,73.51778656126483,34.31372549019608,65.68627450980392,32,46,True,False
1000000000000,unresolved,candidate_margin_phase_wall,3,0,3,0,0,3,59.683794466403164,0.0,100.0,3,3,False,False
1000000000000,unresolved,literal_reanchor_identity,3,0,3,0,0,3,59.683794466403164,0.0,100.0,3,3,False,False
1000000000000,unresolved,seed_offset_phase_wall,3,0,3,0,0,3,59.683794466403164,0.0,100.0,1,1,False,False
1000000000000000,shadow_seed_recovery,candidate_margin_phase_wall,141,36,36,69,0,105,57.83132530120482,25.53191489361702,74.46808510638297,63,141,True,False
1000000000000000,shadow_seed_recovery,literal_reanchor_identity,141,76,65,0,0,65,73.89558232931726,53.90070921985816,46.09929078014184,141,141,True,False
1000000000000000,shadow_seed_recovery,seed_offset_phase_wall,141,55,38,48,0,86,65.46184738955823,39.00709219858156,60.99290780141844,35,54,True,False
1000000000000000,unresolved,candidate_margin_phase_wall,7,0,7,0,0,7,43.373493975903614,0.0,100.0,7,7,False,False
1000000000000000,unresolved,literal_reanchor_identity,7,0,7,0,0,7,43.373493975903614,0.0,100.0,7,7,False,False
1000000000000000,unresolved,seed_offset_phase_wall,7,0,7,0,0,7,43.373493975903614,0.0,100.0,1,3,False,False
1000000000000000000,shadow_seed_recovery,candidate_margin_phase_wall,145,31,49,65,0,114,54.4,21.379310344827587,78.62068965517241,69,144,True,False
1000000000000000000,shadow_seed_recovery,literal_reanchor_identity,145,69,76,0,0,76,69.6,47.58620689655172,52.41379310344828,145,145,True,False
1000000000000000000,shadow_seed_recovery,seed_offset_phase_wall,145,45,48,52,0,100,60.0,31.03448275862069,68.96551724137932,42,57,True,False
1000000000000000000,unresolved,candidate_margin_phase_wall,6,0,6,0,0,6,42.0,0.0,100.0,6,6,False,False
1000000000000000000,unresolved,literal_reanchor_identity,6,0,6,0,0,6,42.0,0.0,100.0,6,6,False,False
1000000000000000000,unresolved,seed_offset_phase_wall,6,0,6,0,0,6,42.0,0.0,100.0,3,5,False,False
