scale,anchor_p,seed_q0,recovered_q_for_audit_only,true_margin_q_minus_q0,visible_open_count_after_seed,true_visible_open_ordinal_of_q,threat_witness_bound,threat_n,threat_witness,threat_delta_from_seed,selected_candidate_n,predicted_margin_qhat_minus_q0,predicted_visible_open_ordinal,margin_error_qhat_minus_q,failure_mode
1000000000000,999999999989,1000000000007,1000000000039,32,5,1,97,1000000000009,29,2,,,,,no_selection
1000000000000,999999999961,999999999967,999999999989,22,5,1,97,999999999971,7,4,,,,,no_selection
1000000000000,999999999863,999999999871,999999999877,6,7,1,97,999999999881,61,10,999999999877,6,1,0,correct
1000000000000,999999999767,999999999781,999999999847,66,11,7,97,999999999791,13,10,999999999787,6,1,-60,selected_too_early
1000000000000,999999999707,999999999743,999999999767,24,8,2,97,999999999749,17,6,,,,,no_selection
1000000000000,999999999617,999999999641,999999999673,32,6,3,97,999999999643,67,2,,,,,no_selection
1000000000000,999999999577,999999999587,999999999589,2,9,1,97,999999999593,7,6,999999999589,2,1,0,correct
1000000000000,999999999529,999999999541,999999999571,30,9,2,97,999999999551,7,10,999999999547,6,1,-24,selected_too_early
1000000000000,999999999391,999999999419,999999999457,38,3,1,97,999999999427,11,8,,,,,no_selection
1000000000000,999999999331,999999999337,999999999359,22,4,1,97,999999999341,7,4,,,,,no_selection
1000000000000,999999999287,999999999289,999999999293,4,6,1,97,999999999299,7,10,999999999293,4,1,0,correct
1000000000000,999999999161,999999999209,999999999247,38,7,2,97,999999999211,59,2,,,,,no_selection
1000000000000,999999999143,999999999151,999999999161,10,6,1,97,999999999157,19,6,,,,,no_selection
1000000000000,999999998867,999999998869,999999998939,70,5,2,97,999999998879,7,10,,,,,no_selection
1000000000000,999999998801,999999998813,999999998821,8,5,1,97,999999998827,89,14,999999998821,8,1,0,correct
1000000000000,999999998611,999999998623,999999998713,90,6,4,97,999999998627,7,4,,,,,no_selection
1000000000000,999999998533,999999998537,999999998567,30,7,3,97,999999998539,31,2,,,,,no_selection
1000000000000,999999998513,999999998521,999999998527,6,11,1,97,999999998539,31,18,999999998537,16,4,10,selected_too_late
1000000000000,999999998461,999999998479,999999998497,18,12,1,97,999999998491,13,12,,,,,no_selection
1000000000000,999999998401,999999998411,999999998429,18,11,2,97,999999998413,13,2,,,,,no_selection
1000000000000,999999998311,999999998381,999999998399,18,5,1,97,999999998383,41,2,,,,,no_selection
1000000000000,999999998237,999999998243,999999998281,38,3,2,97,999999998249,7,6,,,,,no_selection
1000000000000,999999998227,999999998233,999999998237,4,5,1,97,999999998239,11,6,999999998237,4,1,0,correct
1000000000000,999999998203,999999998209,999999998227,18,7,1,97,999999998219,17,10,,,,,no_selection
1000000000000,999999998183,999999998189,999999998191,2,10,1,97,999999998207,7,18,999999998203,14,2,12,selected_too_late
1000000000000,999999998069,999999998089,999999998141,52,8,2,97,999999998093,19,4,,,,,no_selection
1000000000000,999999998021,999999998027,999999998047,20,8,2,97,999999998039,7,12,999999998033,6,1,-14,selected_too_early
1000000000000,999999997939,999999997949,999999998021,72,8,4,97,999999997957,73,8,999999997951,2,1,-70,selected_too_early
1000000000000,999999997831,999999997849,999999997907,58,9,5,97,999999997853,37,4,,,,,no_selection
1000000000000,999999997679,999999997699,999999997721,22,6,1,97,999999997703,7,4,,,,,no_selection
1000000000000,999999997589,999999997597,999999997603,6,4,1,97,999999997601,11,4,,,,,no_selection
1000000000000,999999997517,999999997553,999999997589,36,5,2,97,999999997559,59,6,,,,,no_selection
1000000000000,999999997459,999999997463,999999997517,54,6,4,97,999999997469,11,6,,,,,no_selection
1000000000000,999999997433,999999997439,999999997459,20,8,2,97,999999997441,59,2,,,,,no_selection
1000000000000,999999997397,999999997429,999999997433,4,9,1,97,999999997441,59,12,999999997439,10,2,6,selected_too_late
1000000000000,999999997391,999999997393,999999997397,4,11,1,97,999999997399,13,6,999999997397,4,1,0,correct
1000000000000,999999997343,999999997351,999999997391,40,11,3,97,999999997361,31,10,,,,,no_selection
1000000000000,999999997277,999999997307,999999997327,20,8,1,97,999999997313,43,6,,,,,no_selection
1000000000000,999999997201,999999997223,999999997259,36,5,2,97,999999997231,67,8,,,,,no_selection
1000000000000,999999997163,999999997189,999999997201,12,5,1,97,999999997199,7,10,,,,,no_selection
1000000000000,999999997147,999999997151,999999997163,12,6,1,97,999999997153,41,2,,,,,no_selection
1000000000000,999999997103,999999997121,999999997147,26,7,2,97,999999997129,7,8,,,,,no_selection
1000000000000,999999997013,999999997093,999999997103,10,4,2,97,999999997097,17,4,,,,,no_selection
1000000000000,999999996901,999999996949,999999996977,28,3,1,97,999999996953,19,4,,,,,no_selection
1000000000000,999999996881,999999996887,999999996889,2,6,1,97,999999996893,17,6,999999996889,2,1,0,correct
1000000000000,999999996823,999999996833,999999996881,48,7,2,97,999999996839,19,6,,,,,no_selection
1000000000000,999999996701,999999996727,999999996739,12,4,1,97,999999996733,59,6,,,,,no_selection
1000000000000,999999996581,999999996599,999999996601,2,5,1,97,999999996611,7,12,999999996601,2,1,0,correct
1000000000000,999999996473,999999996511,999999996581,70,4,2,97,999999996521,37,10,,,,,no_selection
1000000000000,999999996371,999999996419,999999996449,30,3,1,97,999999996421,19,2,,,,,no_selection
1000000000000,999999996211,999999996217,999999996223,6,4,1,97,999999996221,53,4,,,,,no_selection
1000000000000,999999996137,999999996173,999999996197,24,5,1,97,999999996179,17,6,,,,,no_selection
1000000000000,999999996097,999999996133,999999996137,4,7,1,97,999999996143,59,10,999999996137,4,1,0,correct
1000000000000,999999995993,999999996011,999999996097,86,5,5,97,999999996017,11,6,,,,,no_selection
1000000000000,999999995899,999999995909,999999995933,24,8,1,97,999999995911,7,2,,,,,no_selection
1000000000000,999999995773,999999995837,999999995857,20,3,1,97,999999995839,13,2,,,,,no_selection
1000000000000,999999995653,999999995681,999999995711,30,5,3,97,999999995683,13,2,,,,,no_selection
1000000000000,999999995581,999999995591,999999995653,62,8,5,97,999999995593,43,2,,,,,no_selection
1000000000000,999999995537,999999995539,999999995573,34,9,2,97,999999995543,29,4,,,,,no_selection
1000000000000,999999995497,999999995521,999999995537,16,7,1,97,999999995527,13,6,,,,,no_selection
1000000000000,999999995429,999999995441,999999995461,20,7,1,97,999999995449,7,8,,,,,no_selection
1000000000000,999999995383,999999995389,999999995413,24,7,1,97,999999995393,7,4,,,,,no_selection
1000000000000,999999995237,999999995257,999999995299,42,3,1,97,999999995261,17,4,,,,,no_selection
1000000000000,999999995207,999999995233,999999995237,4,4,1,97,999999995239,7,6,999999995237,4,1,0,correct
1000000000000,999999995177,999999995201,999999995207,6,5,1,97,999999995203,11,2,,,,,no_selection
1000000000000,999999995147,999999995149,999999995177,28,7,2,97,999999995159,11,10,,,,,no_selection
1000000000000,999999995131,999999995143,999999995147,4,9,1,97,999999995159,11,16,999999995149,6,2,2,selected_too_late
1000000000000,999999994909,999999994919,999999994937,18,6,1,97,999999994921,17,2,,,,,no_selection
1000000000000,999999994897,999999994907,999999994909,2,8,1,97,999999994921,17,14,999999994919,12,2,10,selected_too_late
1000000000000,999999994823,999999994871,999999994897,26,5,1,97,999999994873,11,2,,,,,no_selection
1000000000000,999999994781,999999994783,999999994793,10,8,1,97,999999994787,19,4,,,,,no_selection
1000000000000,999999994769,999999994771,999999994781,10,8,1,97,999999994777,7,6,,,,,no_selection
1000000000000,999999994729,999999994753,999999994769,16,8,1,97,999999994757,31,4,,,,,no_selection
1000000000000,999999994687,999999994723,999999994729,6,8,1,97,999999994727,59,4,,,,,no_selection
1000000000000,999999994639,999999994661,999999994687,26,4,1,97,999999994669,13,8,,,,,no_selection
1000000000000,999999994583,999999994601,999999994603,2,6,1,97,999999994609,7,8,999999994607,6,2,4,selected_too_late
1000000000000,999999994517,999999994531,999999994579,48,8,2,97,999999994541,79,10,,,,,no_selection
1000000000000,999999994471,999999994481,999999994493,12,6,1,97,999999994483,7,2,,,,,no_selection
1000000000000,999999994457,999999994459,999999994463,4,9,1,97,999999994469,7,10,999999994463,4,1,0,correct
1000000000000,999999994379,999999994381,999999994403,22,11,2,97,999999994391,61,10,999999994387,6,1,-16,selected_too_early
1000000000000,999999994361,999999994363,999999994379,16,12,1,97,999999994367,11,4,,,,,no_selection
1000000000000,999999994319,999999994339,999999994361,22,10,2,97,999999994343,7,4,,,,,no_selection
1000000000000,999999994127,999999994159,999999994163,4,4,1,97,999999994169,11,10,999999994163,4,1,0,correct
1000000000000,999999994087,999999994111,999999994117,6,5,1,97,999999994123,13,12,999999994117,6,1,0,correct
1000000000000,999999994009,999999994043,999999994087,44,6,3,97,999999994049,7,6,,,,,no_selection
1000000000000,999999993929,999999993953,999999994009,56,5,3,97,999999993959,43,6,,,,,no_selection
