p,square,previous_prime,offset,o_q,fixed_cutoff,dynamic_cutoff
2,4,3,1,4,60,64
3,9,7,2,4,60,64
5,25,23,2,6,60,64
7,49,47,2,2,44,64
11,121,113,8,6,60,64
13,169,167,2,2,44,64
17,289,283,6,4,60,64
19,361,359,2,2,44,64
23,529,523,6,4,60,64
29,841,839,2,2,44,64
31,961,953,8,6,60,64
37,1369,1367,2,2,44,64
41,1681,1669,12,4,60,64
43,1849,1847,2,2,44,64
47,2209,2207,2,2,44,64
53,2809,2803,6,4,60,64
59,3481,3469,12,4,60,64
61,3721,3719,2,2,44,64
67,4489,4483,6,4,60,64
71,5041,5039,2,2,44,64
73,5329,5323,6,4,60,64
79,6241,6229,12,4,60,64
83,6889,6883,6,4,60,64
89,7921,7919,2,2,44,64
97,9409,9403,6,4,60,64
101,10201,10193,8,6,60,64
103,10609,10607,2,2,44,64
107,11449,11447,2,2,44,64
109,11881,11867,14,2,44,64
113,12769,12763,6,4,60,64
127,16129,16127,2,2,44,64
131,17161,17159,2,2,44,64
137,18769,18757,12,4,60,64
139,19321,19319,2,2,44,64
149,22201,22193,8,6,60,64
151,22801,22787,14,2,44,64
157,24649,24631,18,6,60,64
163,26569,26561,8,2,44,64
167,27889,27883,6,4,60,64
173,29929,29927,2,2,44,64
179,32041,32029,12,4,60,64
181,32761,32749,12,4,60,64
191,36481,36479,2,2,44,64
193,37249,37243,6,4,60,64
197,38809,38803,6,4,60,64
199,39601,39581,20,2,44,64
211,44521,44519,2,2,44,64
223,49729,49727,2,2,44,64
227,51529,51521,8,2,44,64
229,52441,52433,8,6,60,64
233,54289,54287,2,2,44,64
239,57121,57119,2,2,44,64
241,58081,58073,8,6,60,64
251,63001,62989,12,4,60,64
257,66049,66047,2,2,44,64
263,69169,69163,6,4,60,64
269,72361,72353,8,6,60,64
271,73441,73433,8,6,60,64
277,76729,76717,12,4,60,64
281,78961,78941,20,2,44,64
283,80089,80077,12,4,60,64
293,85849,85847,2,2,44,65
307,94249,94229,20,2,44,66
311,96721,96703,18,4,60,66
313,97969,97967,2,2,44,67
317,100489,100483,6,4,60,67
331,109561,109547,14,2,44,68
337,113569,113567,2,2,44,68
347,120409,120401,8,2,44,69
349,121801,121789,12,4,60,69
353,124609,124601,8,2,44,69
359,128881,128879,2,2,44,70
367,134689,134683,6,4,60,70
373,139129,139123,6,4,60,71
379,143641,143629,12,4,60,71
383,146689,146683,6,4,60,71
389,151321,151303,18,4,60,72
397,157609,157579,30,4,60,72
401,160801,160789,12,4,60,72
409,167281,167269,12,4,60,73
419,175561,175543,18,4,60,73
421,177241,177239,2,2,44,74
431,185761,185753,8,6,60,74
433,187489,187477,12,4,60,74
439,192721,192697,24,4,60,75
443,196249,196247,2,2,44,75
449,201601,201599,2,2,44,75
457,208849,208843,6,4,60,76
461,212521,212507,14,2,44,76
463,214369,214363,6,4,60,76
467,218089,218087,2,2,44,76
479,229441,229433,8,6,60,77
487,237169,237163,6,4,60,77
491,241081,241079,2,2,44,77
499,249001,248987,14,2,44,78
503,253009,253003,6,4,60,78
509,259081,259033,48,4,60,78
521,271441,271429,12,4,60,79
523,273529,273527,2,2,44,79
541,292681,292679,2,2,44,80
547,299209,299197,12,4,60,80
557,310249,310243,6,4,60,80
563,316969,316961,8,2,44,81
569,323761,323759,2,2,44,81
571,326041,326023,18,4,60,81
577,332929,332921,8,2,44,81
587,344569,344567,2,2,44,82
593,351649,351643,6,4,60,82
599,358801,358793,8,6,60,82
601,361201,361183,18,4,60,82
607,368449,368447,2,2,44,83
613,375769,375761,8,2,44,83
617,380689,380657,32,2,44,83
619,383161,383153,8,6,60,83
631,398161,398149,12,4,60,84
641,410881,410857,24,4,60,84
643,413449,413443,6,4,60,84
647,418609,418603,6,4,60,84
653,426409,426407,2,2,44,85
659,434281,434267,14,2,44,85
661,436921,436913,8,6,60,85
673,452929,452923,6,4,60,85
677,458329,458327,2,2,44,85
683,466489,466483,6,4,60,86
691,477481,477469,12,4,60,86
701,491401,491377,24,4,60,86
709,502681,502669,12,4,60,87
719,516961,516959,2,2,44,87
727,528529,528527,2,2,44,87
733,537289,537287,2,2,44,88
739,546121,546109,12,4,60,88
743,552049,552047,2,2,44,88
751,564001,563999,2,2,44,88
757,573049,573047,2,2,44,88
761,579121,579119,2,2,44,89
769,591361,591341,20,2,44,89
773,597529,597523,6,4,60,89
787,619369,619363,6,4,60,89
797,635209,635207,2,2,44,90
809,654481,654439,42,4,60,90
811,657721,657719,2,2,44,90
821,674041,674017,24,4,60,91
823,677329,677323,6,4,60,91
827,683929,683923,6,4,60,91
829,687241,687233,8,6,60,91
839,703921,703907,14,2,44,91
853,727609,727589,20,2,44,92
857,734449,734443,6,4,60,92
859,737881,737873,8,6,60,92
863,744769,744767,2,2,44,92
877,769129,769123,6,4,60,92
