p,square,previous_prime,offset,o_q,fixed_cutoff,dynamic_cutoff
3253,10582009,10581959,50,2,44,131
3673,13490929,13490879,50,2,44,135
3929,15437041,15436943,98,6,60,137
4909,24098281,24098209,72,4,60,145
5003,25030009,25029959,50,2,44,146
5099,25999801,25999751,50,2,44,146
5897,34774609,34774559,50,2,44,151
6151,37834801,37834733,68,6,60,153
6263,39225169,39225091,78,6,60,153
7523,56595529,56595463,66,4,60,160
7549,56987401,56987351,50,2,44,160
7559,57138481,57138413,68,6,60,160
7687,59089969,59089903,66,4,60,161
7723,59644729,59644679,50,2,44,161
8419,70879561,70879493,68,6,60,164
9467,89624089,89624039,50,2,44,168
9629,92717641,92717591,50,2,44,169
9739,94848121,94848053,68,6,60,169
10211,104264521,104264453,68,6,60,171
10223,104509729,104509679,50,2,44,171
10399,108139201,108139121,80,2,44,172
10601,112381201,112381133,68,6,60,172
10937,119617969,119617919,50,2,44,173
11093,123054649,123054599,50,2,44,174
11491,132043081,132043019,62,2,44,175
11587,134258569,134258519,50,2,44,176
12101,146434201,146434151,50,2,44,177
12269,150528361,150528311,50,2,44,178
12473,155575729,155575663,66,4,60,178
12497,156175009,156174919,90,4,60,178
12637,159693769,159693683,86,6,60,179
12721,161823841,161823763,78,4,60,179
12983,168558289,168558239,50,2,44,180
13331,177715561,177715511,50,2,44,181
13709,187936681,187936631,50,2,44,182
13711,187991521,187991449,72,4,60,182
14387,206985769,206985719,50,2,44,184
14591,212897281,212897219,62,2,44,184
14627,213949129,213949061,68,2,44,184
14851,220552201,220552139,62,2,44,185
14869,221087161,221087089,72,4,60,185
15451,238733401,238733317,84,4,60,187
15467,239228089,239228027,62,2,44,187
15607,243578449,243578399,50,2,44,187
15641,244640881,244640831,50,2,44,187
15727,247338529,247338467,62,2,44,187
15761,248409121,248409071,50,2,44,187
16091,258920281,258920231,50,2,44,188
16453,270701209,270701159,50,2,44,189
17107,292649449,292649369,80,2,44,191
18451,340439401,340439339,62,2,44,193
19709,388444681,388444597,84,4,60,196
19793,391762849,391762799,50,2,44,196
20297,411968209,411968147,62,2,44,197
20347,414000409,414000359,50,2,44,197
20639,425968321,425968271,50,2,44,198
20747,430438009,430437947,62,2,44,198
20963,439447369,439447303,66,4,60,199
22093,488100649,488100577,72,4,60,201
22391,501356881,501356797,84,4,60,201
22613,511347769,511347719,50,2,44,202
22783,519065089,519065011,78,6,60,202
23057,531625249,531625183,66,4,60,202
23143,535598449,535598387,62,2,44,202
23327,544148929,544148879,50,2,44,203
23509,552673081,552673031,50,2,44,203
23603,557101609,557101547,62,2,44,203
23827,567725929,567725857,72,4,60,204
23833,568011889,568011839,50,2,44,204
24077,579701929,579701879,50,2,44,204
24239,587529121,587529037,84,4,60,204
24281,589566961,589566911,50,2,44,204
24763,613206169,613206107,62,2,44,205
25939,672831721,672831671,50,2,44,207
26003,676156009,676155947,62,2,44,207
26041,678133681,678133591,90,6,60,207
26317,692584489,692584439,50,2,44,208
26647,710062609,710062537,72,4,60,208
26737,714867169,714867089,80,2,44,208
26903,723771409,723771359,50,2,44,209
27431,752459761,752459711,50,2,44,209
27743,769674049,769673999,50,2,44,210
27779,771672841,771672791,50,2,44,210
27827,774341929,774341849,80,2,44,210
28211,795860521,795860453,68,6,60,211
28283,799928089,799928023,66,4,60,211
28297,800720209,800720143,66,4,60,211
28319,801965761,801965711,50,2,44,211
28661,821452921,821452871,50,2,44,211
28703,823862209,823862141,68,2,44,211
28901,835267801,835267717,84,4,60,212
29389,863713321,863713259,62,2,44,212
29473,868657729,868657667,62,2,44,212
29863,891798769,891798701,68,2,44,213
29881,892874161,892874111,50,2,44,213
